tconst,original_title
51411,The Big Country
51418,The Blob
51459,Cat on a Hot Tin Roof
51525,The Defiant Ones
51554,Dracula
51622,The Fly
51658,Gigi
51808,Kakushi-toride no san-akunin
51878,"The Long, Hot Summer"
51994,A Night to Remember
52080,Popiól i diament
52151,Run Silent Run Deep
52311,Touch of Evil
52357,Vertigo
52365,The Vikings
52561,Anatomy of a Murder
52572,Apur Sansar
52600,Ballada o soldate
52618,Ben-Hur
52738,The Diary of Anne Frank
52893,Hiroshima mon amour
52902,The Horse Soldiers
52905,The Hound of the Baskervilles
52918,Imitation of Life
52948,Journey to the Center of the Earth
53125,North by Northwest
53137,On the Beach
53143,Operation Petticoat
53146,Orfeu Negro
53172,Pillow Talk
53198,Les quatre cents coups
53221,Rio Bravo
53270,Shadows
53291,Some Like It Hot
53318,"Suddenly, Last Summer"
53459,Les yeux sans visage
53472,À bout de souffle
53580,The Alamo
53604,The Apartment
53619,L'avventura
53779,La dolce vita
53793,Elmer Gantry
53946,Inherit the Wind
53976,Jungfrukällan
54047,The Magnificent Seven
54067,La maschera del demonio
54130,La notte
54135,Ocean's Eleven
54167,Peeping Tom
54189,Plein soleil
54215,Psycho
54248,Rocco e i suoi fratelli
54331,Spartacus
54357,Swiss Family Robinson
54387,The Time Machine
54389,Tirez sur le pianiste
54407,Le trou
54460,Warui yatsu hodo yoku nemuru
54632,L'année dernière à Marienbad
54698,Breakfast at Tiffany's
54743,The Children's Hour
54749,La ciociara
54821,Le doulos
54847,El Cid
54953,The Guns of Navarone
54997,The Hustler
55018,The Innocents
55031,Judgment at Nuremberg
55032,Jules et Jim
55184,The Misfits
55256,"One, Two, Three"
55257,One-Eyed Jacks
55277,The Parent Trap
55471,Splendor in the Grass
55499,Såsom i en spegel
55572,Une femme est une femme
55601,Viridiana
55614,West Side Story
55630,Yôjinbô
55798,Birdman of Alcatraz
55824,Cape Fear
55852,Cléo de 5 à 7
55895,Days of Wine and Roses
55913,Divorzio all'italiana
55928,Dr. No
56058,Seppuku
56059,Hatari!
56085,How the West Was Won
56111,Ivanovo detstvo
56172,Lawrence of Arabia
56193,Lolita
56197,The Longest Day
56217,The Man Who Shot Liberty Valance
56218,The Manchurian Candidate
56241,The Miracle Worker
56262,The Music Man
56264,Mutiny on the Bounty
56291,Nóz w wodzie
56412,Ride the High Country
56443,Tsubaki Sanjûrô
56512,Il sorpasso
56592,To Kill a Mockingbird
56687,What Ever Happened to Baby Jane?
56732,El ángel exterminador
56736,L'eclisse
56801,8½
56869,The Birds
56923,Charade
56937,Cleopatra
57012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
57076,From Russia with Love
57091,Il gattopardo
57115,The Great Escape
57129,The Haunting
57163,Hud
57187,Irma la Douce
57193,It's a Mad Mad Mad Mad World
57197,Jason and the Argonauts
57261,Lord of the Flies
57298,McLintock!
57345,Le mépris
57358,Nattvardsgästerna
57372,The Nutty Professor
57413,The Pink Panther
57427,Le procès
57449,The Raven
57490,The Servant
57495,Shock Corridor
57565,Tengoku to jigoku
57590,Tom Jones
57603,I tre volti della paura
57611,Tystnaden
57831,Alexis Zorbas
57869,Bande à part
57877,Becket
58003,Il deserto rosso
58083,Fail Safe
58092,Father Goose
58135,Le gendarme de Saint-Tropez
58150,Goldfinger
58182,A Hard Day's Night
58213,"Hush...Hush, Sweet Charlotte"
58279,Kaidan
58329,Marnie
58331,Mary Poppins
58333,The Masque of the Red Death
58385,My Fair Lady
58404,The Night of the Iguana
58430,Onibaba
58450,Les parapluies de Cherbourg
58461,Per un pugno di dollari
58576,Seven Days in May
58586,A Shot in the Dark
58625,Suna no onna
58700,The Last Man on Earth
58715,Il vangelo secondo Matteo
58777,Zulu
58888,Akahige
58898,"Alphaville, une étrange aventure de Lemmy Caution"
58946,La battaglia di Algeri
58947,Battle of the Bulge
59017,Cat Ballou
59037,The Cincinnati Kid
59043,The Collector
59113,Doctor Zhivago
59170,"Faster, Pussycat! Kill! Kill!"
59183,The Flight of the Phoenix
59229,Giulietta degli spiriti
59243,The Great Race
59260,Help!
59274,The Hill
59319,The Ipcress File
59550,Operatsiya 'Y' i drugie priklyucheniya Shurika
59578,Per qualche dollaro in più
59592,Pierrot le Fou
59646,Repulsion
59740,The Sons of Katie Elder
59742,The Sound of Music
59749,The Spy Who Came in from the Cold
59800,Thunderball
59825,The Train
59885,Von Ryan's Express
59903,What's New Pussycat
60086,Alfie
60107,Strasti po Andreyu
60138,Au hasard Balthazar
60153,Batman: The Movie
60176,Blow-Up
60196,"Il buono, il brutto, il cattivo"
60232,The Chase
60268,Cul-de-sac
60277,Dai-bosatsu tôge
60315,Django
60390,Fahrenheit 451
60397,Fantastic Voyage
60424,The Fortune Cookie
60474,La grande vadrouille
60522,How to Steal a Million
60584,"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika"
60665,A Man for All Seasons
60675,Masculin féminin
60802,Ostre sledované vlaky
60827,Persona
60862,The Professionals
60934,The Sand Pebbles
60955,Seconds
61107,Torn Curtain
61138,Un homme et une femme
61184,Who's Afraid of Virginia Woolf?
61385,Barefoot in the Park
61395,Belle de jour
61418,Bonnie and Clyde
61452,Casino Royale
61512,Cool Hand Luke
61578,The Dirty Dozen
61619,El Dorado
61655,Dance of the Vampires
61722,The Graduate
61735,Guess Who's Coming to Dinner
61747,Hang 'Em High
61770,Hombre
61809,In Cold Blood
61811,In the Heat of the Night
61847,Jôi-uchi: Hairyô tsuma shimatsu
61996,Mouchette
62136,Playtime
62138,Point Blank
62229,Le samouraï
62376,"To Sir, with Love"
62407,Two for the Road
62467,Wait Until Dark
62480,Week End
62512,You Only Live Twice
62622,2001: A Space Odyssey
62695,Baisers volés
62711,Barbarella
62759,Brilliantovaya ruka
62765,Bullitt
62803,Chitty Chitty Bang Bang
62824,Coogan's Bluff
62952,Faces
62994,Funny Girl
63032,Il grande silenzio
63035,The Green Berets
63227,The Lion in Winter
63350,Night of the Living Dead
63374,The Odd Couple
63385,Oliver!
63415,The Party
63442,Planet of the Apes
63462,The Producers
63518,Romeo and Juliet
63522,Rosemary's Baby
63611,Skammen
63663,The Swimmer
63678,Teorema
63688,The Thomas Crown Affair
63759,Vargtimmen
63823,Yellow Submarine
63850,If....
64040,L'armée des ombres
64072,Battle of Britain
64115,Butch Cassidy and the Sundance Kid
64116,C'era una volta il West
64117,Cactus Flower
64276,Easy Rider
64418,"Hello, Dolly!"
64505,The Italian Job
64541,Kes
64603,The Love Bug
64612,Ma nuit chez Maud
64665,Midnight Cowboy
64757,On Her Majesty's Secret Service
64782,Paint Your Wagon
64940,Fellini - Satyricon
65051,Support Your Local Sheriff!
65063,Take the Money and Run
65088,"They Shoot Horses, Don't They?"
65112,Topaz
65126,True Grit
65134,Two Mules for Sister Sara
65143,L'uccello dalle piume di cristallo
65207,Where Eagles Dare
65214,The Wild Bunch
65234,Z
65377,Airport
65462,Beneath the Planet of the Apes
65466,Beyond the Valley of the Dolls
65528,Catch-22
65531,Le cercle rouge
65571,Il conformista
65622,Il Decameron
65724,Five Easy Pieces
65761,Il gatto a nove code
65772,Le genou de Claire
65780,Gimme Shelter
65889,Indagine su un cittadino al di sopra di ogni sospetto
65938,Kelly's Heroes
65988,Little Big Man
66011,Love Story
66026,M*A*S*H
66206,Patton
66214,Performance
66249,The Private Life of Sherlock Holmes
66301,Rio Lobo
66434,THX 1138
66473,Tora! Tora! Tora!
66491,Tristana
66580,Woodstock
66601,Zabriskie Point
66740,The Abominable Dr. Phibes
66763,Anand
66765,And Now for Something Completely Different
66769,The Andromeda Strain
66808,Bananas
66817,Bedknobs and Broomsticks
66819,The Beguiled
66831,Big Jake
66892,Carnal Knowledge
66921,A Clockwork Orange
66993,The Devils
66995,Diamonds Are Forever
66999,Dirty Harry
67023,Duel
67065,Escape from the Planet of the Apes
67093,Fiddler on the Roof
67116,The French Connection
67128,Get Carter
67140,Giù la testa
67185,Harold and Maude
67277,Johnny Got His Gun
67309,Klute
67328,The Last Picture Show
67334,Le Mans
67355,Lo chiamavano Trinità...
67372,The Tragedy of Macbeth
67411,McCabe & Mrs. Miller
67445,Morte a Venezia
67525,The Omega Man
67541,Wake in Fright
67549,The Panic in Needle Park
67588,Play Misty for Me
67656,Ecologia del delitto
67741,Shaft
67756,Silent Running
67800,Straw Dogs
67824,Tang shan da xiong
67866,El Topo
67893,Two-Lane Blacktop
67927,Vanishing Point
67959,Walkabout
67992,Willy Wonka & the Chocolate Factory
68154,Continuavano a chiamarlo Trinità
68182,"Aguirre, der Zorn Gottes"
68327,Cabaret
68334,The Candidate
68361,Le charme discret de la bourgeoisie
68611,Frenzy
68638,The Getaway
68646,The Godfather
68699,High Plains Drifter
68408,Conquest of the Planet of the Apes
68713,Pánico en el Transiberiano
68762,Jeremiah Johnson
68421,The Cowboys
68767,Jing wu men
68473,Deliverance
68768,Joe Kidd
68833,The Last House on the Left
68519,Dzhentlmeny udachi
68931,The Mechanic
68555,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask
68935,Meng long guo jiang
69191,Roma
69280,Slaughterhouse-Five
69089,Pink Flamingos
69097,"Play It Again, Sam"
69113,The Poseidon Adventure
69281,Sleuth
69293,Solyaris
69495,"What's Up, Doc?"
69341,Tales from the Crypt
69467,Viskningar och rop
69865,Charley Varrick
69687,Alice in den Städten
69895,The Crazies
69897,Coffy
69697,...altrimenti ci arrabbiamo!
69945,Dark Star
69704,American Graffiti
69947,The Day of the Jackal
69747,Les aventures de Rabbi Jacob
69995,Don't Look Now
69762,Badlands
70016,Charlotte's Web
69768,Battle for the Planet of the Apes
70215,Il mio nome è Nessuno
70233,Ivan Vasilevich menyaet professiyu
70034,Enter the Dragon
70040,El espíritu de la colmena
70047,The Exorcist
70239,Jesus Christ Superstar
70290,The Last Detail
70294,The Legend of Hell House
70328,Live and Let Die
70130,La grande bouffe
70334,The Long Goodbye
70355,Magnum Force
70460,La nuit américaine
70379,Mean Streets
70510,Paper Moon
70608,Robin Hood
70511,Papillon
70518,Pat Garrett & Billy the Kid
70643,Scarecrow
70666,Serpico
70698,Sisters
70707,Sleeper
70791,Theater of Blood
70723,Soylent Green
70842,Turks fruit
70735,The Sting
70948,Zardoz
70849,Ultimo tango a Parigi
70903,The Way We Were
70909,Westworld
71315,Chinatown
70917,The Wicker Man
71110,Airport 1975
71115,Alice Doesn't Live Here Anymore
71360,The Conversation
71129,Amarcord
71141,Angst essen Seele auf
71402,Death Wish
71222,Black Christmas
71411,Dersu Uzala
71230,Blazing Saddles
71249,Bring Me the Head of Alfredo Garcia
71455,Earthquake
71691,Jeder für sich und Gott gegen alle
71487,Le fantôme de la liberté
71524,The Front Page
71746,Lenny
71562,The Godfather: Part II
71771,The Longest Yard
71577,The Great Gatsby
71807,The Man with the Golden Gun
71615,La montaña sagrada
71994,Phantom of the Paradise
71853,Monty Python and the Holy Grail
72081,The Return of the Pink Panther
71877,Murder on the Orient Express
72226,The Sugarland Express
71910,Il portiere di notte
71935,The Odessa File
72251,The Taking of Pelham One Two Three
71970,The Parallax View
72271,The Texas Chain Saw Massacre
72281,The Three Musketeers
72417,A Woman Under the Influence
72288,Thunderbolt and Lightfoot
72431,Young Frankenstein
72308,The Towering Inferno
72443,Zerkalo
72684,Barry Lyndon
72890,Dog Day Afternoon
72730,A Boy and His Dog
72783,Chupke Chupke
72901,Les 12 travaux d'Astérix
72926,The Eiger Sanction
72860,Deewaar
72962,F for Fake
73000,Flåklypa Grand Prix
73012,The Four Musketeers
73076,Grey Gardens
73018,French Connection II
73092,Hard Times
73312,Love and Death
73195,Jaws
73341,The Man Who Would Be King
73440,Nashville
73486,One Flew Over the Cuckoo's Nest
73453,Night Moves
73692,Shampoo
73540,Picnic at Hanging Rock
73705,Shivers
73707,Sholay
73580,Professione: reporter
73747,The Stepford Wives
73582,Profondo rosso
73802,Three Days of the Condor
73629,The Rocky Horror Picture Show
73631,Rollerball
73636,Rooster Cogburn
73812,Tommy
73650,Salò o le 120 giornate di Sodoma
74084,Novecento
74102,Ai no korîda
74103,L'aile ou la cuisse
74119,All the President's Men
74156,Assault on Precinct 13
74174,The Bad News Bears
74442,I due superpiedi quasi piatti
74256,Bugsy Malone
74258,Burnt Offerings
74452,The Eagle Has Landed
74285,Carrie
74483,The Enforcer
74486,Eraserhead
74512,Family Plot
74695,Cross of Iron
74559,Futureworld
74806,The Little Girl Who Lives Down the Lane
74749,The Killing of a Chinese Bookie
74751,King Kong
74811,Le locataire
74812,Logan's Run
74851,The Man Who Fell to Earth
74958,Network
74860,Marathon Man
75005,The Omen
75029,The Outlaw Josey Wales
74896,The Message
75066,The Pink Panther Strikes Again
74899,Midway
74906,The Missouri Breaks
74937,Murder by Death
75612,3 Women
75147,Robin and Marian
75148,Rocky
75213,The Shootist
75222,Silent Movie
75223,Silver Streak
75265,A Star Is Born
75276,Stroszek
75648,Airport '77
75314,Taxi Driver
75675,Der amerikanische Freund
75686,Annie Hall
75925,The Deep
75784,A Bridge Too Far
75824,Cet obscur objet du désir
75968,The Duellists
75860,Close Encounters of the Third Kind
76257,The Kentucky Fried Movie
76054,Freaky Friday
76276,Ko to tamo peva
76070,The Gauntlet
76451,"New York, New York"
76085,Una giornata particolare
76095,The Goodbye Girl
76504,Orca
76141,High Anxiety
76150,Communion
76538,Pete's Dragon
76162,Hausu
76221,Jabberwocky
76578,Pumping Iron
76590,Rabid
76929,Wizards
76666,Saturday Night Fever
77269,The Boys from Brazil
76723,Slap Shot
76729,Smokey and the Bandit
76734,Soldaat van Oranje
76740,Sorcerer
76752,The Spy Who Loved Me
76759,Star Wars
76786,Suspiria
77288,La Cage aux folles
77294,Capricorn One
77355,Coma
77523,Every Which Way but Loose
77362,Coming Home
77369,Convoy
77394,Damien: Omen II
77402,Dawn of the Dead
77405,Days of Heaven
77413,Death on the Nile
77416,The Deer Hunter
77451,Don
77572,Force 10 from Navarone
77578,Foul Play
77588,The Fury
77594,Game of Death
77631,Grease
77651,Halloween
77663,Heaven Can Wait
77681,The Hills Have Eyes
77711,Höstsonaten
77713,Day of the Woman
77742,Interiors
77745,Invasion of the Body Snatchers
77766,Jaws 2
77838,The Last Waltz
77869,The Lord of the Rings
77889,Magic
77914,Martin
77928,Midnight Express
77975,National Lampoon's Animal House
78087,Piranha
78111,Pretty Baby
78163,Revenge of the Pink Panther
78243,Shao Lin san shi liu fang
78252,Se ying diu sau
78346,Superman
78446,Up in Smoke
78480,Watership Down
78492,The Wild Geese
78504,The Wiz
78718,...and justice for all.
78721,10
78723,1941
78748,Alien
78754,All That Jazz
78767,The Amityville Horror
78788,Apocalypse Now
78841,Being There
78869,The Black Hole
78872,The Black Stallion
78875,Die Blechtrommel
78902,Breaking Away
78908,The Brood
78935,Cannibal Holocaust
78966,The China Syndrome
79095,Die Ehe der Maria Braun
79116,Escape from Alcatraz
79180,The Frisco Kid
79221,Golmaal
79240,The First Great Train Robbery
79261,Hair
79367,The Jerk
79417,Kramer vs. Kramer
79470,Life of Brian
79501,Mad Max
79522,Manhattan
79540,Meatballs
79574,Moonraker
79579,Moskva slezam ne verit
79588,The Muppet Movie
79638,Norma Rae
79641,Nosferatu: Phantom der Nacht
79672,Opening Night
77474,The Driver
79714,Phantasm
79766,Quadrophenia
79817,Rocky II
79833,Rupan sansei: Kariosutoro no shiro
79871,Scum
79944,Stalker
79945,Star Trek: The Motion Picture
80009,Tess
80025,Time After Time
80057,Zombi 2
80117,The Wanderers
80120,The Warriors
80130,When a Stranger Calls
80179,Zui quan
80310,'Breaker' Morant
80319,Nine to Five
80339,Airplane!
80354,Alligator
80360,Altered States
80365,American Gigolo
80377,Any Which Way You Can
80388,Atlantic City
80437,The Big Red One
80453,The Blue Lagoon
80455,The Blues Brothers
80472,Bronco Billy
80474,Brubaker
80487,Caddyshack
80491,Caligola
80516,The Changeling
80520,Cheech and Chong's Next Movie
80549,Coal Miner's Daughter
80569,Cruising
80610,Le dernier métro
80661,Dressed to Kill
80678,The Elephant Man
80684,Star Wars: Episode V - The Empire Strikes Back
80716,Fame
80736,The Final Countdown
80745,Flash Gordon
80749,The Fog
80761,Friday the 13th
80801,The Gods Must Be Crazy
80855,Heaven's Gate
80923,Inferno
80979,Kagemusha
81059,Lion of the Desert
81070,The Long Good Friday
81071,The Long Riders
81114,Maniac
81184,Motel Hell
81283,Ordinary People
81318,Paura nella città dei morti viventi
81353,Popeye
81375,Private Benjamin
81383,Prom Night
81398,Raging Bull
81455,Scanners
81505,The Shining
81506,Shogun Assassin
81529,Smokey and the Bandit II
81534,Somewhere in Time
81554,Stardust Memories
81562,Stir Crazy
81573,Superman II
81617,Terror Train
81633,Time Bandits
81696,Urban Cowboy
81698,Used Cars
81748,Where the Buffalo Roam
81777,Xanadu
81974,Absence of Malice
82010,An American Werewolf in London
82031,Arthur
82085,Blow Out
82089,Body Heat
82096,Das Boot
82118,The Burning
82136,The Cannonball Run
82158,Chariots of Fire
82176,Christiane F. - Wir Kinder vom Bahnhof Zoo
82186,Clash of the Titans
82198,Conan the Barbarian
82242,Dead & Buried
82250,Death Wish II
82269,Diva
82288,Dragonslayer
82307,...E tu vivrai nel terrore! L'aldilà
82334,The Entity
82340,Escape from New York
82348,Excalibur
82351,Eye of the Needle
82377,The Final Conflict
82398,For Your Eyes Only
82406,The Fox and the Hound
82416,The French Lieutenant's Woman
82418,Friday the 13th Part 2
82427,The Funhouse
82432,Gallipoli
82474,The Great Muppet Caper
82484,La guerre du feu
82495,Halloween II
82509,Heavy Metal
82517,History of the World: Part I
82533,The Howling
82694,Mad Max 2
82736,Mephisto
82766,Mommie Dearest
82782,My Bloody Valentine
82783,My Dinner with Andre
82817,Nighthawks
82846,On Golden Pond
82869,Outland
82933,Possession
82934,The Postman Always Rings Twice
82949,Le professionnel
82951,The Prowler
82966,Quella villa accanto al cimitero
82971,Raiders of the Lost Ark
82979,Reds
83111,Southern Comfort
83131,Stripes
83169,Taps
83190,Thief
83284,Victory
83511,48 Hrs.
83530,Airplane II: The Sequel
83550,Amityville II: The Possession
83564,Annie
83624,Basket Case
83630,The Beastmaster
83642,The Best Little Whorehouse in Texas
83658,Blade Runner
83722,Cat People
83739,Class of 1984
83767,Creepshow
83791,The Dark Crystal
83798,Dead Men Don't Wear Plaid
83806,Deathtrap
83833,Diner
83866,E.T. the Extra-Terrestrial
83907,The Evil Dead
83908,Evil Under the Sun
83922,Fanny och Alexander
83929,Fast Times at Ridgemont High
83943,Firefox
83944,First Blood
83946,Fitzcarraldo
83972,Friday the 13th Part III
83987,Gandhi
84237,The Last Unicorn
84503,Pink Floyd: The Wall
84302,Maratonci trce pocasni krug
84329,A Midsummer Night's Sex Comedy
84335,Missing
84516,Poltergeist
84412,Night Shift
84522,Porky's
84434,An Officer and a Gentleman
84602,Rocky III
84628,Sans soleil
84649,The Secret of NIMH
84827,TRON
84707,Sophie's Choice
84719,Lo squartatore di New York
84726,Star Trek II: The Wrath of Khan
84855,The Verdict
84865,Victor Victoria
84917,The World According to Garp
84934,Yol
85127,A gai waak
85154,All the Right Moves
85210,Bad Boys
85244,The Big Chill
85255,Blue Thunder
85271,Brainstorm
85327,Chi trova un amico trova un tesoro
85333,Christine
85334,A Christmas Story
85346,Class
85382,Cujo
85404,The Day After
85407,The Dead Zone
85478,Educating Rita
85542,Fire and Ice
85549,Flashdance
85615,Gorky Park
85701,The Hunger
85743,Jaane Bhi Do Yaaro
85780,The Keep
85794,The King of Comedy
85809,Koyaanisqatsi
85811,Krull
85859,Local Hero
85862,Lone Wolf McQuade
85894,The Man with Two Brains
85933,Merry Christmas Mr. Lawrence
85959,The Meaning of Life
85970,Mr. Mom
85995,National Lampoon's Vacation
86006,Never Say Never Again
86022,Nostalghia
86034,Octopussy
86066,The Outsiders
86129,Porky's II: The Next Day
86154,Psycho II
86190,Star Wars: Episode VI - Return of the Jedi
86197,The Right Stuff
86200,Risky Business
86216,Rumble Fish
86250,Scarface
86312,Silkwood
