Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Distributor,Opening,Budget,Date,Runtime,Genres
207,Sherlock Holmes,"$524,028,679","$209,028,679",39.9%,"$315,000,000",60.1%,2009,WarnerBros.,"$62,304,277","$90,000,000","January1,2009(Romania)",2hr8min,ActionAdventureMystery
208,Meet the Fockers,"$522,657,936","$279,261,160",53.4%,"$243,396,776",46.6%,2004,UniversalPictures,"$46,120,980","$80,000,000","December22,2004(Domestic)",1hr55min,ComedyRomance
209,WALL·E,"$521,311,890","$223,808,164",42.9%,"$297,503,726",57.1%,2008,,$0,$0,,,
210,Kung Fu Panda 3,"$521,170,825","$143,528,619",27.5%,"$377,642,206",72.5%,2016,TwentiethCenturyFox,"$41,282,042","$145,000,000","January28,2016(APAC,EMEA)",1hr35min,ActionAdventureAnimationComedyDramaFamilyFantasy
211,Terminator 2: Judgment Day,"$520,881,154","$205,881,154",39.5%,"$315,000,000",60.5%,1991,TriStarPictures,"$31,765,506","$102,000,000","July3,1991(Domestic)",2hr17min,ActionSci-Fi
212,Ant-Man,"$519,311,965","$180,202,163",34.7%,"$339,109,802",65.3%,2015,WaltDisneyStudiosMotionPictures,"$57,225,526","$130,000,000","July10,2015(Bulgaria)",1hr57min,ActionAdventureComedySci-Fi
213,The Grinch,"$512,492,755","$271,094,731",52.9%,"$241,398,024",47.1%,2018,UniversalPictures,"$67,572,855","$75,000,000","November7,2018(EMEA,LATAM)",1hr25min,AdventureAnimationComedyFamilyFantasyMusic
214,Ghost,"$505,703,557","$217,631,306",43%,"$288,072,251",57%,1990,,$0,$0,,,
215,Aladdin,"$504,050,219","$217,350,219",43.1%,"$286,700,000",56.9%,1992,,$0,$0,,,
216,Rio 2,"$498,781,117","$131,538,435",26.4%,"$367,242,682",73.6%,2014,TwentiethCenturyFox,"$39,327,869","$103,000,000","March20,2014(EMEA,APAC)",1hr41min,AdventureAnimationComedyCrimeDramaFamilyMusical
217,Troy,"$497,409,852","$133,378,256",26.8%,"$364,031,596",73.2%,2004,WarnerBros.,"$46,865,412","$175,000,000","May12,2004(EMEA)",2hr43min,DramaHistory
218,Toy Story 2,"$497,375,381","$245,852,179",49.4%,"$251,523,202",50.6%,1999,,$0,$0,,,
219,How to Train Your Dragon,"$494,879,471","$217,581,231",44%,"$277,298,240",56%,2010,DreamWorks,"$43,732,319","$165,000,000","March18,2010(EMEA,APAC)",1hr38min,ActionAdventureAnimationDramaFamilyFantasy
220,Twister,"$494,471,524","$241,721,524",48.9%,"$252,750,000",51.1%,1996,,$0,$0,,,
221,Oz the Great and Powerful,"$493,311,825","$234,911,825",47.6%,"$258,400,000",52.4%,2013,WaltDisneyStudiosMotionPictures,"$79,110,453","$215,000,000","March6,2013(Egypt)",2hr10min,AdventureFamilyFantasy
222,Clash of the Titans,"$493,214,993","$163,214,888",33.1%,"$330,000,105",66.9%,2010,WarnerBros.,"$61,235,105","$125,000,000","March31,2010(Spain)",1hr46min,ActionAdventureFantasy
223,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%,2019,WaltDisneyStudiosMotionPictures,"$36,948,713","$185,000,000","October16,2019(APAC,EMEA)",1hr59min,AdventureFamilyFantasy
224,War for the Planet of the Apes,"$490,719,763","$146,880,162",29.9%,"$343,839,601",70.1%,2017,TwentiethCenturyFox,"$56,262,929","$150,000,000","July11,2017(UnitedKingdom)",2hr20min,ActionAdventureDramaSci-FiThriller
225,Shrek,"$487,853,320","$267,665,011",54.9%,"$220,188,309",45.1%,2001,DreamWorksDistribution,"$42,347,760","$60,000,000","May16,2001(Domestic)",1hr30min,AdventureAnimationComedyFamilyFantasy
226,Mr. & Mrs. Smith,"$487,287,646","$186,336,279",38.2%,"$300,951,367",61.8%,2005,TwentiethCenturyFox,"$50,342,878","$110,000,000","June8,2005(5markets)",2hr,ActionComedyCrimeThriller
227,Angels & Demons,"$485,930,816","$133,375,846",27.4%,"$352,554,970",72.6%,2009,SonyPicturesEntertainment(SPE),"$46,204,168","$150,000,000","May13,2009(EMEA,APAC)",2hr18min,ActionMysteryThriller
228,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754",39.4%,"$293,800,000",60.6%,2014,ParamountPictures,"$65,575,105","$125,000,000","August7,2014(9markets)",1hr41min,ActionAdventureComedySci-Fi
229,Bruce Almighty,"$484,592,874","$242,829,261",50.1%,"$241,763,613",49.9%,2003,UniversalPictures,"$67,953,330","$81,000,000","May23,2003(Domestic)",1hr41min,ComedyFantasy
230,Rio,"$483,866,518","$143,619,809",29.7%,"$340,246,709",70.3%,2011,TwentiethCenturyFox,"$39,225,962","$90,000,000","April4,2011(Russia/CIS)",1hr36min,AdventureAnimationComedyCrimeDramaFamilyMusical
231,Saving Private Ryan,"$482,349,603","$217,049,603",45%,"$265,300,000",55%,1998,DreamWorksDistribution,"$30,576,104","$70,000,000","July24,1998(Domestic)",2hr49min,DramaWar
232,Rise of the Planet of the Apes,"$481,800,873","$176,760,185",36.7%,"$305,040,688",63.3%,2011,TwentiethCenturyFox,"$54,806,191","$93,000,000","August3,2011(NewZealand)",1hr45min,ActionDramaSci-FiThriller
233,Home Alone,"$476,684,675","$285,761,243",60%,"$190,923,432",40%,1990,,$0,$0,,,
234,Star Wars: Episode VI - Return of the Jedi,"$475,106,177","$309,306,177",65.1%,"$165,800,000",34.9%,1983,TwentiethCenturyFox,"$23,019,618","$32,500,000","May25,1983(Domestic)",2hr11min,ActionAdventureFantasySci-Fi
235,Charlie and the Chocolate Factory,"$474,968,763","$206,459,076",43.5%,"$268,509,687",56.5%,2005,WarnerBros.,"$56,178,450","$150,000,000","July14,2005(EMEA)",1hr55min,AdventureComedyFamilyFantasyMusical
236,Hotel Transylvania 2,"$474,800,000","$169,700,110",35.7%,"$305,099,890",64.3%,2015,SonyPicturesEntertainment(SPE),"$48,464,322","$80,000,000","September21,2015(UnitedArabEmirates)",1hr29min,ActionAdventureAnimationComedyFamilyFantasyHorrorRomance
237,Indiana Jones and the Last Crusade,"$474,171,806","$197,171,806",41.6%,"$277,000,000",58.4%,1989,ParamountPictures,"$29,355,021","$48,000,000","May24,1989(Domestic)",2hr7min,ActionAdventure
238,San Andreas,"$473,990,832","$155,190,832",32.7%,"$318,800,000",67.3%,2015,WarnerBros.,"$54,588,173","$110,000,000","May22,2015(EMEA,APAC)",1hr54min,ActionAdventureThriller
239,It Chapter Two,"$473,093,228","$211,593,228",44.7%,"$261,500,000",55.3%,2019,WarnerBros.,"$91,062,152","$79,000,000","September4,2019(APAC)",2hr49min,DramaFantasyHorror
240,Jaws,"$471,411,300","$260,758,300",55.3%,"$210,653,000",44.7%,1975,,$0,$0,,,
241,Wreck-It Ralph,"$471,222,889","$189,422,889",40.2%,"$281,800,000",59.8%,2012,WaltDisneyStudiosMotionPictures,"$49,038,712","$165,000,000","November1,2012(7markets)",1hr41min,AdventureAnimationComedyFamilyFantasySci-Fi
242,The Hangover,"$469,310,836","$277,322,503",59.1%,"$191,988,333",40.9%,2009,WarnerBros.,"$44,979,319","$35,000,000","June5,2009(Domestic)",1hr40min,Comedy
243,The Lego Movie,"$468,060,692","$257,760,692",55.1%,"$210,300,000",44.9%,2014,WarnerBros.,"$69,050,279","$60,000,000","February6,2014(19markets)",1hr40min,AdventureAnimationComedyFamilyFantasySci-Fi
244,Bumblebee,"$467,989,645","$127,195,589",27.2%,"$340,794,056",72.8%,2018,ParamountPictures,"$21,654,047","$135,000,000","December19,2018(Indonesia)",1hr54min,ActionAdventureSci-Fi
245,Godzilla vs. Kong,"$467,863,133","$100,563,133",21.5%,"$367,300,000",78.5%,2021,,$0,$0,,,
246,Star Trek Into Darkness,"$467,365,246","$228,778,661",49%,"$238,586,585",51%,2013,ParamountPictures,"$70,165,559","$190,000,000","May8,2013(Iceland)",2hr12min,ActionAdventureSci-Fi
247,The Matrix,"$466,364,845","$171,479,930",36.8%,"$294,884,915",63.2%,1999,WarnerBros.,"$27,788,331","$63,000,000","March31,1999(Domestic)",2hr16min,ActionSci-Fi
248,Gladiator,"$465,380,802","$187,705,427",40.3%,"$277,675,375",59.7%,2000,DreamWorksDistribution,"$34,819,017","$103,000,000","May4,2000(Australia)",2hr35min,ActionAdventureDrama
249,Pretty Woman,"$463,406,268","$178,406,268",38.5%,"$285,000,000",61.5%,1990,WaltDisneyStudiosMotionPictures,"$11,280,591","$14,000,000","March23,1990(Domestic)",1hr59min,ComedyRomance
250,Cars,"$461,991,867","$244,082,982",52.8%,"$217,908,885",47.2%,2006,,$0,$0,,,
251,The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%,2020,,$0,$0,,,
252,X-Men: The Last Stand,"$460,435,291","$234,362,462",50.9%,"$226,072,829",49.1%,2006,TwentiethCenturyFox,"$102,750,665","$210,000,000","May24,2006(13markets)",1hr44min,ActionAdventureSci-Fi
253,National Treasure: Book of Secrets,"$459,242,249","$219,964,115",47.9%,"$239,278,134",52.1%,2007,,$0,$0,,,
254,Lucy,"$458,863,600","$126,663,600",27.6%,"$332,200,000",72.4%,2014,UniversalPictures,"$43,899,340","$40,000,000","July25,2014(Domestic)",1hr29min,ActionSci-FiThriller
255,Mission: Impossible,"$457,696,391","$180,981,856",39.5%,"$276,714,535",60.5%,1996,ParamountPictures,"$45,436,830","$80,000,000","May22,1996(Domestic)",1hr50min,ActionAdventureThriller
256,300,"$456,068,181","$210,614,939",46.2%,"$245,453,242",53.8%,2007,WarnerBros.,"$70,885,301","$65,000,000","March7,2007(Philippines)",1hr57min,ActionDrama
257,The Last Samurai,"$454,627,263","$111,127,263",24.4%,"$343,500,000",75.6%,2003,WarnerBros.,"$24,271,354","$140,000,000","December5,2003(Domestic)",2hr34min,ActionDrama
258,Demon Slayer: Mugen Train,"$452,974,619","$47,700,000",10.5%,"$405,274,619",89.5%,2020,,$0,$0,,,
259,Dying to Survive,"$451,183,391","$6,752",-,"$451,176,639",100%,2018,,$0,$0,,,
260,Ocean's Eleven,"$450,717,150","$183,417,150",40.7%,"$267,300,000",59.3%,2001,WarnerBros.,"$38,107,822","$85,000,000","December7,2001(Domestic)",1hr56min,CrimeThriller
261,"My People, My Country","$450,064,993","$2,356,683",0.5%,"$447,708,310",99.5%,2019,,$0,$0,,,
262,Thor,"$449,326,618","$181,030,624",40.3%,"$268,295,994",59.7%,2011,ParamountPictures,"$65,723,338","$150,000,000","April21,2011(Australia)",1hr55min,ActionAdventureFantasy
263,Pearl Harbor,"$449,220,945","$198,542,554",44.2%,"$250,678,391",55.8%,2001,WaltDisneyStudiosMotionPictures,"$59,078,912","$140,000,000","May25,2001(Domestic)",3hr3min,ActionDramaHistoryRomanceWar
264,La La Land,"$448,906,865","$151,101,803",33.7%,"$297,805,062",66.3%,2016,Lionsgate,"$881,104","$30,000,000","December7,2016(SouthKorea)",2hr8min,ComedyDramaMusicMusicalRomance
265,Tarzan,"$448,191,819","$171,091,819",38.2%,"$277,100,000",61.8%,1999,WaltDisneyStudiosMotionPictures,"$34,221,968","$130,000,000","June16,1999(Domestic)",1hr28min,AdventureAnimationComedyFamily
266,Men in Black II,"$445,135,288","$193,735,288",43.5%,"$251,400,000",56.5%,2002,SonyPicturesEntertainment(SPE),"$52,148,751","$140,000,000","July3,2002(APAC,Domestic)",1hr28min,ActionAdventureComedyMysterySci-Fi
267,The Bourne Ultimatum,"$444,100,035","$227,471,070",51.2%,"$216,628,965",48.8%,2007,UniversalPictures,"$69,283,690","$110,000,000","August3,2007(Domestic)",1hr55min,ActionAdventureMysteryThriller
268,The Mummy Returns,"$443,280,904","$202,019,785",45.6%,"$241,261,119",54.4%,2001,UniversalPictures,"$68,139,035","$98,000,000","May4,2001(Domestic)",2hr10min,ActionAdventureFantasyThriller
269,Alvin and the Chipmunks: The Squeakquel,"$443,140,005","$219,614,612",49.6%,"$223,525,393",50.4%,2009,TwentiethCenturyFox,"$48,875,415","$75,000,000","December21,2009(Netherlands)",1hr28min,AdventureAnimationComedyFamilyFantasyMusicMusical
