Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Distributor,Opening,Budget,Date,Runtime,Genres
450,A Christmas Carol,"$325,286,646","$137,855,863",42.4%,"$187,430,783",57.6%,2009,WaltDisneyStudiosMotionPictures,"$30,051,075","$200,000,000","September9,2009(Turkey)",1hr36min,AdventureAnimationDramaFamilyFantasyMusicMystery
451,The SpongeBob Movie: Sponge Out of Water,"$325,186,032","$162,994,032",50.1%,"$162,192,000",49.9%,2015,ParamountPictures,"$55,365,012","$74,000,000","January28,2015(Belgium)",1hr32min,AdventureAnimationComedyFamilyFantasy
452,Schindler's List,"$322,161,245","$96,898,818",30.1%,"$225,262,427",69.9%,1993,UniversalPictures,"$656,636","$22,000,000","December15,1993(Domestic)",3hr15min,BiographyDramaHistory
453,Megamind,"$321,885,765","$148,415,853",46.1%,"$173,469,912",53.9%,2010,DreamWorks,"$46,016,833","$130,000,000","October28,2010(Ukraine)",1hr35min,ActionAnimationComedyCrimeFamilyFantasySci-Fi
454,The Conjuring 2,"$321,788,219","$102,470,008",31.8%,"$219,318,211",68.2%,2016,WarnerBros.,"$40,406,314","$40,000,000","June8,2016(EMEA)",2hr14min,HorrorMysteryThriller
455,Green Book,"$321,752,656","$85,080,171",26.4%,"$236,672,485",73.6%,2018,UniversalPictures,"$320,429","$23,000,000","November16,2018(Domestic)",2hr10min,BiographyComedyDramaMusic
456,Lethal Weapon 3,"$321,731,527","$144,731,527",45%,"$177,000,000",55%,1992,WarnerBros.,"$33,243,086","$35,000,000","May15,1992(Domestic)",1hr58min,ActionCrimeThriller
457,The Ugly Truth,"$321,682,600","$88,915,214",27.6%,"$232,767,386",72.4%,2009,SonyPicturesEntertainment(SPE),"$27,605,576","$38,000,000","February26,2009(Slovenia)",1hr36min,ComedyRomance
458,Robin Hood,"$321,669,741","$105,269,730",32.7%,"$216,400,011",67.3%,2010,UniversalPictures,"$36,063,385","$200,000,000","May12,2010(EMEA,APAC)",2hr20min,ActionAdventureDramaHistory
459,Inglourious Basterds,"$321,457,747","$120,540,719",37.5%,"$200,917,028",62.5%,2009,TheWeinsteinCompany,"$38,054,676","$70,000,000","August19,2009(EMEA)",2hr33min,AdventureDramaWar
460,101 Dalmatians,"$320,689,294","$136,189,294",42.5%,"$184,500,000",57.5%,1996,,$0,$0,,,
461,The Conjuring,"$320,290,989","$137,400,141",42.9%,"$182,890,848",57.1%,2013,WarnerBros.,"$41,855,326","$20,000,000","July18,2013(APAC)",1hr52min,HorrorMysteryThriller
462,Fatal Attraction,"$320,145,693","$156,645,693",48.9%,"$163,500,000",51.1%,1987,,$0,$0,,,
463,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%,2020,ParamountPictures,"$58,018,348","$85,000,000","February12,2020(EMEA)",1hr39min,ActionAdventureComedySci-Fi
464,The Last Airbender,"$319,713,881","$131,772,187",41.2%,"$187,941,694",58.8%,2010,ParamountPictures,"$40,325,019","$150,000,000","July1,2010(Domestic)",1hr43min,ActionAdventureFamilyFantasy
465,The Proposal,"$317,375,031","$163,958,031",51.7%,"$153,417,000",48.3%,2009,WaltDisneyStudiosMotionPictures,"$33,627,598","$40,000,000","June17,2009(Belgium)",1hr48min,ComedyDramaRomance
466,A Beautiful Mind,"$316,791,257","$170,742,341",53.9%,"$146,048,916",46.1%,2001,UniversalPictures,"$367,151","$58,000,000","December21,2001(Domestic)",2hr15min,BiographyDrama
467,Beverly Hills Cop,"$316,360,478","$234,760,478",74.2%,"$81,600,000",25.8%,1984,,$0,$0,,,
468,Air Force One,"$315,156,409","$172,956,409",54.9%,"$142,200,000",45.1%,1997,SonyPicturesEntertainment(SPE),"$37,132,505","$85,000,000","July25,1997(Domestic)",2hr4min,ActionDramaThriller
469,The Expendables 2,"$314,975,955","$85,028,192",27%,"$229,947,763",73%,2012,Lionsgate,"$28,591,370","$100,000,000","August15,2012(Portugal)",1hr43min,ActionAdventureThriller
470,Chicken Little,"$314,432,837","$135,386,665",43.1%,"$179,046,172",56.9%,2005,WaltDisneyStudiosMotionPictures,"$40,049,778","$150,000,000","November4,2005(4markets)",1hr21min,AdventureAnimationComedyFamilyFantasySci-Fi
471,The Polar Express,"$314,215,454","$187,935,490",59.8%,"$126,279,964",40.2%,2004,,$0,$0,,,
472,As Good as It Gets,"$314,178,011","$148,478,011",47.3%,"$165,700,000",52.7%,1997,SonyPicturesEntertainment(SPE),"$12,606,928","$50,000,000","December23,1997(Domestic)",2hr19min,ComedyDramaRomance
473,Maze Runner: The Scorch Trials,"$312,296,056","$81,697,192",26.2%,"$230,598,864",73.8%,2015,TwentiethCenturyFox,"$30,316,510","$61,000,000","September9,2015(APAC)",2hr11min,ActionAdventureSci-FiThriller
474,Resident Evil: The Final Chapter,"$312,242,626","$26,830,068",8.6%,"$285,412,558",91.4%,2016,ScreenGems,"$13,601,682","$40,000,000","December23,2016(Japan)",1hr47min,ActionHorrorSci-Fi
475,Austin Powers: The Spy Who Shagged Me,"$312,016,928","$206,040,086",66%,"$105,976,842",34%,1999,NewLineCinema,"$17,981,900","$33,000,000","June11,1999(Domestic)",1hr35min,ActionAdventureComedyCrime
476,The Lego Batman Movie,"$311,950,384","$175,750,384",56.3%,"$136,200,000",43.7%,2017,WarnerBros.,"$53,003,468","$80,000,000","February2,2017(Thailand)",1hr44min,ActionAdventureAnimationComedyCrimeFamilyFantasyRomanceSci-Fi
477,Knives Out,"$311,605,581","$165,363,234",53.1%,"$146,242,347",46.9%,2019,Lionsgate,"$26,769,548","$40,000,000","November21,2019(Russia/CIS)",2hr10min,ComedyCrimeDramaMysteryThriller
478,Ocean's Thirteen,"$311,312,624","$117,154,724",37.6%,"$194,157,900",62.4%,2007,,$0,$0,,,
479,Little Fockers,"$310,650,585","$148,438,600",47.8%,"$162,211,985",52.2%,2010,UniversalPictures,"$30,833,665","$100,000,000","December22,2010(Domestic,EMEA)",1hr38min,ComedyRomance
480,Bolt,"$309,979,994","$114,053,579",36.8%,"$195,926,415",63.2%,2008,WaltDisneyStudiosMotionPictures,"$26,223,128","$150,000,000","November21,2008(Domestic)",1hr36min,AdventureAnimationComedyCrimeDramaFamily
481,Ransom,"$309,492,681","$136,492,681",44.1%,"$173,000,000",55.9%,1996,,$0,$0,,,
482,Runaway Bride,"$309,460,292","$152,257,509",49.2%,"$157,202,783",50.8%,1999,ParamountPictures,"$35,055,556","$70,000,000","July30,1999(Domestic)",1hr56min,ComedyRomance
483,The Blind Side,"$309,208,309","$255,959,475",82.8%,"$53,248,834",17.2%,2009,WarnerBros.,"$34,119,372","$29,000,000","November20,2009(Domestic)",2hr9min,BiographyDramaSport
484,The Ex-File 3: The Return of The Exes,"$307,592,427","$838,959",0.3%,"$306,753,468",99.7%,2017,,$0,$0,,,
485,The Fault in Our Stars,"$307,166,834","$124,872,350",40.6%,"$182,294,484",59.4%,2014,TwentiethCenturyFox,"$48,002,523","$12,000,000","June4,2014(Iceland)",2hr6min,DramaRomance
486,The Pursuit of Happyness,"$307,127,625","$163,566,459",53.3%,"$143,561,166",46.7%,2006,SonyPicturesEntertainment(SPE),"$26,541,709","$55,000,000","December15,2006(Domestic)",1hr57min,BiographyDrama
487,Rise of the Guardians,"$306,941,670","$103,412,758",33.7%,"$203,528,912",66.3%,2012,DreamWorks,"$23,773,465","$145,000,000","November21,2012(Domestic)",1hr37min,ActionAdventureAnimationComedyDramaFamilyFantasy
488,Close Encounters of the Third Kind,"$306,889,114","$135,189,114",44%,"$171,700,000",56%,1977,,$0,$0,,,
489,Chicago,"$306,776,732","$170,687,518",55.6%,"$136,089,214",44.4%,2002,Miramax,"$2,074,929","$45,000,000","February26,2002(France)",1hr53min,ComedyCrimeMusical
490,Annabelle: Creation,"$306,515,884","$102,092,201",33.3%,"$204,423,683",66.7%,2017,WarnerBros.,"$35,006,404","$15,000,000","August3,2017(Italy)",1hr49min,HorrorMysteryThriller
491,Wonder,"$306,209,289","$132,422,809",43.2%,"$173,786,480",56.8%,2017,,$0,$0,,,
492,Skyscraper,"$304,868,961","$68,420,120",22.4%,"$236,448,841",77.6%,2018,UniversalPictures,"$24,905,015","$125,000,000","July11,2018(EMEA,APAC)",1hr42min,ActionAdventureThriller
493,A Good Day to Die Hard,"$304,654,182","$67,349,198",22.1%,"$237,304,984",77.9%,2013,TwentiethCenturyFox,"$24,834,845","$92,000,000","February6,2013(Indonesia)",1hr38min,ActionThriller
494,Mulan,"$304,320,254","$120,620,254",39.6%,"$183,700,000",60.4%,1998,,$0,$0,,,
495,Dangal,"$303,723,636","$12,391,761",4.1%,"$291,331,875",95.9%,2016,,$0,$0,,,
496,Free Guy,"$303,250,198","$109,650,198",36.2%,"$193,600,000",63.8%,2021,,$0,$0,,,
497,Passengers,"$303,144,152","$100,014,699",33%,"$203,129,453",67%,2016,SonyPicturesEntertainment(SPE),"$14,869,736","$110,000,000","December21,2016(5markets)",1hr56min,DramaRomanceSci-FiThriller
498,Battleship,"$303,025,485","$65,422,625",21.6%,"$237,602,860",78.4%,2012,UniversalPictures,"$25,534,825","$209,000,000","April11,2012(EMEA,APAC)",2hr11min,ActionAdventureSci-FiThriller
499,Liar Liar,"$302,710,615","$181,410,615",59.9%,"$121,300,000",40.1%,1997,,$0,$0,,,
500,G.I. Joe: The Rise of Cobra,"$302,469,017","$150,201,498",49.7%,"$152,267,519",50.3%,2009,ParamountPictures,"$54,713,046","$175,000,000","August5,2009(Belgium)",1hr58min,ActionAdventureSci-FiThriller
501,Wrath of the Titans,"$301,970,083","$83,670,083",27.7%,"$218,300,000",72.3%,2012,WarnerBros.,"$33,457,188","$150,000,000","March28,2012(EMEA)",1hr39min,ActionAdventureFantasy
502,Fantastic 4: Rise of the Silver Surfer,"$301,913,131","$131,921,738",43.7%,"$169,991,393",56.3%,2007,TwentiethCenturyFox,"$58,051,684","$130,000,000","June13,2007(9markets)",1hr32min,ActionAdventureFantasySci-Fi
503,Hook,"$300,854,823","$119,654,823",39.8%,"$181,200,000",60.2%,1991,,$0,$0,,,
504,Rocky IV,"$300,473,716","$127,873,716",42.6%,"$172,600,000",57.4%,1985,,$0,$0,,,
505,Superman,"$300,451,603","$134,451,603",44.8%,"$166,000,000",55.2%,1978,WarnerBros.,"$7,465,343","$55,000,000","December15,1978(Domestic)",2hr23min,ActionAdventureDramaSci-Fi
506,Rambo: First Blood Part II,"$300,400,432","$150,415,432",50.1%,"$149,985,000",49.9%,1985,,$0,$0,,,
507,Resident Evil: Afterlife,"$300,228,084","$60,128,566",20%,"$240,099,518",80%,2010,ScreenGems,"$26,650,264","$60,000,000","September9,2010(EMEA,APAC)",1hr36min,ActionAdventureHorrorSci-Fi
508,Van Helsing,"$300,157,638","$120,177,084",40%,"$179,980,554",60%,2004,UniversalPictures,"$51,748,040","$160,000,000","May5,2004(EMEA)",2hr11min,ActionAdventureFantasy
509,Stuart Little,"$300,135,367","$140,035,367",46.7%,"$160,100,000",53.3%,1999,SonyPicturesEntertainment(SPE),"$15,018,223","$133,000,000","December17,1999(Domestic)",1hr24min,AdventureComedyFamilyFantasy
510,Beverly Hills Cop II,"$299,965,036","$153,665,036",51.2%,"$146,300,000",48.8%,1987,,$0,$0,,,
511,Alice Through the Looking Glass,"$299,820,798","$77,041,381",25.7%,"$222,779,417",74.3%,2016,WaltDisneyStudiosMotionPictures,"$26,858,726","$170,000,000","May25,2016(EMEA)",1hr53min,AdventureFamilyFantasy
512,My Best Friend's Wedding,"$299,288,605","$127,120,029",42.5%,"$172,168,576",57.5%,1997,SonyPicturesEntertainment(SPE),"$21,678,377","$38,000,000","June20,1997(Domestic)",1hr45min,ComedyDramaRomance
513,Real Steel,"$299,268,508","$85,468,508",28.6%,"$213,800,000",71.4%,2011,,$0,$0,,,
514,Horton Hears a Who!,"$298,572,799","$154,529,439",51.8%,"$144,043,360",48.2%,2008,,$0,$0,,,
515,Ocean's Eight,"$297,718,711","$140,218,711",47.1%,"$157,500,000",52.9%,2018,WarnerBros.,"$41,607,378","$70,000,000","June7,2018(10markets)",1hr50min,ActionComedyCrimeThriller
516,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%,2021,,$0,$0,,,
517,The Divergent Series: Insurgent,"$297,002,527","$130,179,072",43.8%,"$166,823,455",56.2%,2015,Lionsgate,"$52,263,680","$110,000,000","March18,2015(EMEA,APAC)",1hr59min,ActionAdventureSci-FiThriller
518,Look Who's Talking,"$296,999,813","$140,088,813",47.2%,"$156,911,000",52.8%,1989,,$0,$0,,,
519,Austin Powers in Goldmember,"$296,938,801","$213,307,889",71.8%,"$83,630,912",28.2%,2002,NewLineCinema,"$73,071,188","$63,000,000","July26,2002(EMEA,Domestic)",1hr34min,ActionAdventureComedyCrime
520,Miss Peregrine's Home for Peculiar Children,"$296,482,446","$87,242,834",29.4%,"$209,239,612",70.6%,2016,TwentiethCenturyFox,"$28,871,140","$110,000,000","September28,2016(EMEA,APAC)",2hr7min,AdventureDramaFamilyFantasyThriller
521,X-Men,"$296,339,528","$157,299,718",53.1%,"$139,039,810",46.9%,2000,TwentiethCenturyFox,"$54,471,475","$75,000,000","July13,2000(Australia)",1hr44min,ActionAdventureSci-Fi
522,Ghostbusters,"$296,187,079","$243,187,079",82.1%,"$53,000,000",17.9%,1984,,$0,$0,,,
523,Ferdinand,"$296,069,199","$84,410,380",28.5%,"$211,658,819",71.5%,2017,TwentiethCenturyFox,"$13,401,586","$111,000,000","December13,2017(LATAM,EMEA)",1hr48min,AdventureAnimationComedyDramaFamilyFantasy
524,Shutter Island,"$294,805,697","$128,012,934",43.4%,"$166,792,763",56.6%,2010,ParamountPictures,"$41,062,440","$80,000,000","February18,2010(APAC,EMEA)",2hr18min,MysteryThriller
525,Doctor Dolittle,"$294,456,605","$144,156,605",49%,"$150,300,000",51%,1998,,$0,$0,,,
526,Bee Movie,"$293,514,336","$126,631,277",43.1%,"$166,883,059",56.9%,2007,DreamWorks,"$38,021,044","$150,000,000","November1,2007(EMEA,APAC)",1hr31min,AdventureAnimationComedyFamilyRomance
527,Salt,"$293,503,354","$118,311,368",40.3%,"$175,191,986",59.7%,2010,SonyPicturesEntertainment(SPE),"$36,011,243","$110,000,000","July21,2010(Egypt)",1hr40min,ActionThriller
528,G-Force,"$292,817,898","$119,436,770",40.8%,"$173,381,128",59.2%,2009,WaltDisneyStudiosMotionPictures,"$31,706,934","$150,000,000","July23,2009(EMEA,LATAM)",1hr28min,ActionAdventureAnimationComedyFamilyFantasySci-Fi
529,The Departed,"$291,465,373","$132,384,315",45.4%,"$159,081,058",54.6%,2006,WarnerBros.,"$26,887,467","$90,000,000","October5,2006(EMEA,APAC)",2hr31min,CrimeDramaThriller
530,What Lies Beneath,"$291,420,351","$155,464,351",53.4%,"$135,956,000",46.6%,2000,DreamWorksDistribution,"$29,702,959","$100,000,000","July21,2000(Domestic)",2hr10min,DramaHorrorMysteryThriller
531,Pacific Rim: Uprising,"$290,930,148","$59,874,525",20.6%,"$231,055,623",79.4%,2018,UniversalPictures,"$28,116,535","$150,000,000","March21,2018(7markets)",1hr51min,ActionAdventureSci-Fi
532,The Bourne Supremacy,"$290,835,269","$176,241,941",60.6%,"$114,593,328",39.4%,2004,UniversalPictures,"$52,521,865","$75,000,000","July23,2004(Domestic)",1hr48min,ActionMysteryThriller
533,Sex and the City 2,"$290,745,055","$95,347,692",32.8%,"$195,397,363",67.2%,2010,WarnerBros.,"$31,001,870","$100,000,000","May27,2010(9markets)",2hr26min,ComedyDramaRomance
534,Shakespeare in Love,"$289,317,794","$100,317,794",34.7%,"$189,000,000",65.3%,1998,Miramax,"$224,012","$25,000,000","December11,1998(Domestic)",2hr3min,ComedyDramaHistoryRomance
535,Divergent,"$288,885,818","$150,947,895",52.2%,"$137,937,923",47.8%,2014,Lionsgate,"$54,607,747","$85,000,000","March20,2014(EMEA,APAC)",2hr19min,ActionAdventureMysterySci-Fi
536,Coming to America,"$288,752,301","$128,152,301",44.4%,"$160,600,000",55.6%,1988,,$0,$0,,,
537,Wedding Crashers,"$288,467,645","$209,255,921",72.5%,"$79,211,724",27.5%,2005,NewLineCinema,"$32,200,000","$40,000,000","July14,2005(EMEA)",1hr59min,ComedyRomance
538,Bridesmaids,"$288,383,523","$169,106,725",58.6%,"$119,276,798",41.4%,2011,UniversalPictures,"$26,247,410","$32,500,000","May12,2011(EMEA)",2hr5min,ComedyRomance
539,Maze Runner: The Death Cure,"$288,175,335","$58,032,443",20.1%,"$230,142,892",79.9%,2018,TwentiethCenturyFox,"$24,167,011","$62,000,000","January17,2018(SouthKorea)",2hr23min,ActionAdventureSci-FiThriller
540,Casper,"$287,928,194","$100,328,194",34.8%,"$187,600,000",65.2%,1995,,$0,$0,,,
541,American Pie 2,"$287,553,595","$145,103,595",50.5%,"$142,450,000",49.5%,2001,UniversalPictures,"$45,117,985","$30,000,000","August10,2001(Domestic)",1hr48min,Comedy
542,Pitch Perfect 2,"$287,144,079","$184,296,230",64.2%,"$102,847,849",35.8%,2015,UniversalPictures,"$69,216,890","$29,000,000","May7,2015(APAC)",1hr55min,ComedyMusic
543,The Green Mile,"$286,801,374","$136,801,374",47.7%,"$150,000,000",52.3%,1999,WarnerBros.,"$18,017,152","$60,000,000","December10,1999(Domestic)",3hr9min,CrimeDramaFantasyMystery
544,Oblivion,"$286,168,572","$89,107,235",31.1%,"$197,061,337",68.9%,2013,UniversalPictures,"$37,054,485","$120,000,000","April10,2013(EMEA,APAC)",2hr4min,ActionAdventureSci-Fi
545,Elysium,"$286,140,700","$93,050,117",32.5%,"$193,090,583",67.5%,2013,TriStarPictures,"$29,807,393","$115,000,000","August8,2013(EMEA,APAC)",1hr49min,ActionDramaSci-Fi
546,Lethal Weapon 4,"$285,444,603","$130,444,603",45.7%,"$155,000,000",54.3%,1998,WarnerBros.,"$34,048,124","$140,000,000","July10,1998(Domestic)",2hr7min,ActionCrimeThriller
547,John Carter,"$284,139,100","$73,078,100",25.7%,"$211,061,000",74.3%,2012,WaltDisneyStudiosMotionPictures,"$30,180,188","$250,000,000","March7,2012(EMEA,APAC)",2hr12min,ActionAdventureSci-Fi
548,Turbo,"$282,570,682","$83,028,128",29.4%,"$199,542,554",70.6%,2013,TwentiethCenturyFox,"$21,312,625","$135,000,000","July10,2013(Uruguay)",1hr36min,AdventureAnimationComedyFamilySport
549,Paddington,"$282,377,683","$76,271,832",27%,"$206,105,851",73%,2014,,$0,$0,,,
550,Bridget Jones's Diary,"$281,995,610","$71,543,427",25.4%,"$210,452,183",74.6%,2001,Miramax,"$10,733,933","$25,000,000","April13,2001(Domestic,EMEA)",1hr37min,ComedyDramaRomance
551,The Tourist,"$278,780,441","$67,631,157",24.3%,"$211,149,284",75.7%,2010,SonyPicturesEntertainment(SPE),"$16,472,458","$100,000,000","December9,2010(SouthKorea)",1hr43min,ActionThriller
552,Split,"$278,454,417","$138,291,365",49.7%,"$140,163,052",50.3%,2017,UniversalPictures,"$40,010,975","$9,000,000","January18,2017(Philippines)",1hr57min,HorrorThriller
553,Scary Movie,"$278,019,771","$157,019,771",56.5%,"$121,000,000",43.5%,2000,Miramax,"$42,346,669","$19,000,000","July7,2000(Domestic)",1hr28min,Comedy
554,xXx,"$277,448,382","$142,109,382",51.2%,"$135,339,000",48.8%,2002,RevolutionStudios,"$44,506,103","$70,000,000","August9,2002(Domestic)",2hr4min,ActionAdventureThriller
555,The Bourne Legacy,"$276,144,750","$113,203,870",41%,"$162,940,880",59%,2012,UniversalPictures,"$38,142,825","$125,000,000","August8,2012(APAC)",2hr15min,ActionAdventureThriller
556,Mr. Peabody & Sherman,"$275,698,039","$111,506,430",40.4%,"$164,191,609",59.6%,2014,TwentiethCenturyFox,"$32,207,057","$145,000,000","February7,2014(UnitedKingdom)",1hr32min,AdventureAnimationComedyFamilyRomanceSci-Fi
557,Scooby-Doo,"$275,650,703","$153,294,164",55.6%,"$122,356,539",44.4%,2002,WarnerBros.,"$54,155,312","$84,000,000","June14,2002(Domestic)",1hr29min,AdventureComedyFamilyFantasyMystery
558,Lincoln,"$275,293,450","$182,207,973",66.2%,"$93,085,477",33.8%,2012,WaltDisneyStudiosMotionPictures,"$944,308","$65,000,000","November9,2012(Domestic)",2hr30min,BiographyDramaHistoryWar
559,Lara Croft: Tomb Raider,"$274,703,340","$131,168,070",47.8%,"$143,535,270",52.2%,2001,ParamountPictures,"$47,735,743","$115,000,000","June15,2001(Domestic,APAC)",1hr40min,ActionAdventureFantasyThriller
560,Tomb Raider,"$274,650,803","$58,250,803",21.2%,"$216,400,000",78.8%,2018,WarnerBros.,"$23,633,317","$94,000,000","March7,2018(Indonesia)",1hr59min,ActionAdventureFantasyThriller
561,The Expendables,"$274,470,394","$103,068,524",37.6%,"$171,401,870",62.4%,2010,Lionsgate,"$34,825,135","$80,000,000","August12,2010(EMEA,APAC)",1hr43min,ActionAdventureThriller
562,Cloudy with a Chance of Meatballs 2,"$274,325,949","$119,793,567",43.7%,"$154,532,382",56.3%,2013,SonyPicturesEntertainment(SPE),"$34,017,930","$78,000,000","September26,2013(Chile)",1hr35min,AdventureAnimationComedyDramaFamilyFantasySci-Fi
563,The Nutty Professor,"$273,961,019","$128,814,019",47%,"$145,147,000",53%,1996,UniversalPictures,"$25,411,725","$54,000,000","June28,1996(Domestic)",1hr35min,ComedyRomanceSci-Fi
564,Jerry Maguire,"$273,552,592","$153,952,592",56.3%,"$119,600,000",43.7%,1996,SonyPicturesEntertainment(SPE),"$17,084,296","$50,000,000","December13,1996(Domestic)",2hr19min,ComedyDramaRomanceSport
565,Bad Boys II,"$273,339,556","$138,608,444",50.7%,"$134,731,112",49.3%,2003,SonyPicturesEntertainment(SPE),"$46,522,560","$130,000,000","July18,2003(Domestic)",2hr27min,ActionComedyCrimeThriller
566,Lilo & Stitch,"$273,144,151","$145,794,338",53.4%,"$127,349,813",46.6%,2002,WaltDisneyStudiosMotionPictures,"$35,260,212","$80,000,000","June21,2002(Domestic,EMEA)",1hr25min,AdventureAnimationComedyDramaFamilyFantasySci-Fi
567,The Silence of the Lambs,"$272,742,922","$130,742,922",47.9%,"$142,000,000",52.1%,1991,,$0,$0,,,
568,Grown Ups,"$271,457,301","$162,001,186",59.7%,"$109,456,115",40.3%,2010,SonyPicturesEntertainment(SPE),"$40,506,562","$80,000,000","June24,2010(EMEA,APAC)",1hr42min,Comedy
569,Neighbors,"$270,665,134","$150,157,400",55.5%,"$120,507,734",44.5%,2014,UniversalPictures,"$49,033,915","$18,000,000","May8,2014(EMEA,APAC)",1hr37min,Comedy
570,The Firm,"$270,248,367","$158,348,367",58.6%,"$111,900,000",41.4%,1993,,$0,$0,,,
571,We're the Millers,"$269,994,119","$150,394,119",55.7%,"$119,600,000",44.3%,2012,WarnerBros.,"$26,419,396","$37,000,000","August29,2012(Malaysia)",1hr50min,ComedyCrime
572,Gran Torino,"$269,958,228","$148,095,302",54.9%,"$121,862,926",45.1%,2008,WarnerBros.,"$271,720","$33,000,000","December12,2008(Domestic)",1hr56min,Drama
573,"10,000 BC","$269,784,201","$94,784,201",35.1%,"$175,000,000",64.9%,2008,WarnerBros.,"$35,867,488","$105,000,000","March5,2008(Philippines)",1hr49min,ActionAdventureDramaFantasyHistory
574,American Gangster,"$269,755,430","$130,164,645",48.2%,"$139,590,785",51.8%,2007,UniversalPictures,"$43,565,135","$100,000,000","November2,2007(EMEA,Domestic)",2hr37min,BiographyCrimeDrama
575,Epic,"$268,426,634","$107,518,682",40.1%,"$160,907,952",59.9%,2013,TwentiethCenturyFox,"$33,531,068","$100,000,000","May16,2013(LATAM,EMEA)",1hr42min,AdventureAnimationFamilyFantasyMystery
576,Exodus: Gods and Kings,"$268,175,631","$65,014,513",24.2%,"$203,161,118",75.8%,2014,TwentiethCenturyFox,"$24,115,934","$140,000,000","December4,2014(APAC)",2hr30min,ActionAdventureDramaFantasy
577,Bambi,"$267,447,150","$102,247,150",38.2%,"$165,200,000",61.8%,1942,,$0,$0,,,
578,The Princess and the Frog,"$267,045,765","$104,400,899",39.1%,"$162,644,866",60.9%,2009,,$0,$0,,,
579,Batman Returns,"$266,892,996","$162,902,340",61%,"$103,990,656",39%,1992,WarnerBros.,"$45,687,711","$80,000,000","June19,1992(Domestic)",2hr6min,ActionCrimeFantasy
580,Indecent Proposal,"$266,614,059","$106,614,059",40%,"$160,000,000",60%,1993,,$0,$0,,,
581,Something's Gotta Give,"$265,328,738","$124,728,738",47%,"$140,600,000",53%,2003,SonyPicturesEntertainment(SPE),"$16,064,723","$80,000,000","December12,2003(Domestic)",2hr8min,ComedyDramaRomance
582,Bridget Jones: The Edge of Reason,"$265,126,918","$40,226,215",15.2%,"$224,900,703",84.8%,2004,UniversalPictures,"$8,684,055","$40,000,000","November11,2004(EMEA,APAC)",1hr48min,ComedyDramaRomance
583,The Incredible Hulk,"$264,770,996","$134,806,913",50.9%,"$129,964,083",49.1%,2008,UniversalPictures,"$55,414,050","$150,000,000","June11,2008(Ukraine)",1hr52min,ActionAdventureSci-Fi
584,Waterworld,"$264,218,220","$88,246,220",33.4%,"$175,972,000",66.6%,1995,UniversalPictures,"$21,171,780","$175,000,000","July28,1995(Domestic)",2hr15min,ActionAdventureSci-Fi
585,The Truman Show,"$264,118,201","$125,618,201",47.6%,"$138,500,000",52.4%,1998,,$0,$0,,,
586,Charlie's Angels,"$264,105,545","$125,305,545",47.4%,"$138,800,000",52.6%,2000,SonyPicturesEntertainment(SPE),"$40,128,550","$93,000,000","November3,2000(Domestic)",1hr38min,ActionAdventureComedyCrimeThriller
587,The Fifth Element,"$263,920,180","$63,820,180",24.2%,"$200,100,000",75.8%,1997,,$0,$0,,,
588,Jumanji,"$262,821,940","$100,499,940",38.2%,"$162,322,000",61.8%,1995,SonyPicturesEntertainment(SPE),"$11,084,370","$65,000,000","December15,1995(Domestic)",1hr44min,AdventureComedyFamilyFantasy
589,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$262,552,893","$128,505,958",48.9%,"$134,046,935",51.1%,2006,TwentiethCenturyFox,"$26,455,463","$18,000,000","February23,2006(CentralAmerica)",1hr24min,Comedy
590,Robots,"$262,511,490","$128,200,012",48.8%,"$134,311,478",51.2%,2005,TwentiethCenturyFox,"$36,045,301","$75,000,000","March10,2005(LATAM,APAC)",1hr31min,AdventureAnimationComedyFamilySci-Fi
591,Knight and Day,"$261,989,769","$76,423,035",29.2%,"$185,566,734",70.8%,2008,,$0,$0,,,
592,Total Recall,"$261,317,921","$119,412,921",45.7%,"$141,905,000",54.3%,1990,,$0,$0,,,
593,This Is It,"$261,183,588","$72,091,016",27.6%,"$189,092,572",72.4%,2009,,$0,$0,,,
594,Terminator: Dark Fate,"$261,119,292","$62,253,077",23.8%,"$198,866,215",76.2%,2019,ParamountPictures,"$29,033,832","$185,000,000","October23,2019(EMEA,APAC)",2hr8min,ActionAdventureSci-FiThriller
595,The Lone Ranger,"$260,502,115","$89,302,115",34.3%,"$171,200,000",65.7%,2013,WaltDisneyStudiosMotionPictures,"$29,210,849","$215,000,000","July3,2013(EMEA,Domestic)",2hr30min,ActionAdventureWestern
596,Super 8,"$260,095,986","$127,004,179",48.8%,"$133,091,807",51.2%,2011,ParamountPictures,"$35,451,168","$50,000,000","June9,2011(APAC)",1hr52min,MysterySci-FiThriller
597,Mojin: The Lost Legend,"$259,368,448","$1,243,810",0.5%,"$258,124,638",99.5%,2015,,$0,$0,,,
598,Blade Runner 2049,"$259,334,548","$92,054,159",35.5%,"$167,280,389",64.5%,2017,WarnerBros.,"$32,753,122","$150,000,000","October4,2017(EMEA)",2hr44min,ActionDramaMysterySci-FiThriller
