,primary_name
685,Gregory Jacobs
686,Gregory Nava
687,Gregory Plotkin
688,Gregory Poirier
689,Greg Tiernan
690,Greta Gerwig
691,Griffin Dunne
692,Grímur Hákonarson
693,Guillaume Canet
694,Guillermo del Toro
695,Gus Van Sant
696,Guy Nattiv
697,Guy Ritchie
698,Haifaa Al-Mansour
699,Hal Hartley
700,Hallie Meyers-Shyer
701,Hansal Mehta
702,Hans Canosa
703,Hans Petter Moland
704,Hany Abu-Assad
705,Harald Zwart
706,Hark Tsui
707,Harmony Korine
708,Harold Becker
709,Harold Ramis
710,Harry Elfont
711,Hayden Schlossberg
712,Heitor Dhalia
713,Henry Bean
714,Henry Hathaway
715,Henry Hobson
716,Henry Joost
717,Henry Koster
718,Henry Levin
719,Henry Selick
720,Herbert Ross
721,Hideo Nakata
722,Howard Deutch
723,Howard Hawks
724,Howard McCain
725,Howard Zieff
726,Hoyt Yeatman
727,Hugh Wilson
728,Hunter Richards
729,Hype Williams
730,Iain Softley
731,Ian Nelms
732,Ilya Naishuller
733,Im Sang-soo
734,Imtiaz Ali
735,Ingmar Bergman
736,Irvin Kershner
737,Irwin Winkler
738,Isaac Florentine
739,Ishirô Honda
740,István Szabó
741,Ivan Reitman
742,J.A. Bayona
743,Jack Clayton
744,Jack Sholder
745,Jack Smight
746,Jaco Van Dormael
747,Jacques Becker
748,Jac Schaeffer
749,Jake Kasdan
750,Jake Schreier
751,Jake Szymanski
752,Jalmari Helander
753,James Algar
754,James Bobin
755,James Cameron
756,James Cox
757,James DeMonaco
758,James Foley
759,James Gray
760,James Gunn
761,James Ivory
762,James Keach
763,James L. Brooks
764,James Mangold
765,James Marsh
766,James Mather
767,James McTeigue
768,James Orr
769,James Ponsoldt
770,James Strong
771,James Vanderbilt
772,James Wan
773,James Wong
774,Jamie Babbit
775,Jamie Blanks
776,Jamie Linden
777,Jamin Winans
778,Jan de Bont
779,Jane Campion
780,Jan Kounen
781,Jan Pinkava
782,Jan Sverák
783,Jared Hess
784,Jason Eisener
785,Jason Hall
786,Jason Moore
787,Jason Reitman
788,Jason Winer
789,Jaume Balagueró
790,Jaume Collet-Serra
791,Javier Abad
792,Jay Chandrasekhar
793,Jay Duplass
794,Jay Levey
795,Jay Roach
796,Jay Russell
797,J.B. Rogers
798,J.C. Chandor
799,Jean Cocteau
800,Jean-François Richet
801,Jean-Jacques Annaud
802,Jean-Jacques Beineix
803,Jean-Luc Godard
804,Jean-Marc Vallée
805,Jean-Marie Poiré
806,Jeannot Szwarc
807,Jean-Pierre Dardenne
808,Jee-woon Kim
809,Jeff Fowler
810,Jeff McGrath
811,Jeff Nichols
812,Jeffrey Blitz
813,Jeffrey Katzenberg
814,Jeff Schaffer
815,Jeff Tomsic
816,Jeff Tremaine
817,Jeff Wadlow
818,Je-kyu Kang
819,Jennifer Fox
820,Jennifer Lee
821,Jennifer Lynch
822,Jennifer Yuh Nelson
823,Jenny Gage
824,Jeremiah S. Chechik
825,Jeremy Garelick
826,Jeremy Haft
827,Jeremy Leven
828,Jerome Robbins
829,Jérôme Salle
830,Jerry Jameson
831,Jerry Schatzberg
832,Jerry Zucker
833,Jesse Dylan
834,Jesse Peretz
835,Jessica Bendinger
836,Jessica Sharzer
837,Jessie Nelson
838,Jill Culton
839,Jim Abrahams
840,Jim Fall
841,Jim Field Smith
842,Jim Gillespie
843,Jim Handley
844,Jim Henson
845,Jim Jarmusch
846,Jimmy Hayward
847,Jim Sheridan
848,J.J. Abrams
849,J. Mackye Gruber
850,Joachim Rønning
851,Joachim Trier
852,Joan Chen
853,Joby Harold
854,Jodie Foster
855,Jody Hill
856,Joe Carnahan
857,Joe Chappelle
858,Joe Charbanic
859,Joe Cornish
860,Joe Dante
861,Joe Johnston
862,Joe Ksander
863,Joel Coen
864,Joel Gallen
865,Joel Schumacher
866,Joe Lynch
867,Joel Zwick
868,Joe Nussbaum
869,Joe Ranft
870,Joe Roth
871,Joe Wright
872,John A. Davis
873,John Badham
874,John Boorman
875,John Cameron Mitchell
876,John Carney
877,John Carpenter
878,John Cassavetes
879,John Crowley
880,John Curran
881,John Dahl
882,John Duigan
883,John Erick Dowdle
884,John Farrow
885,John Fawcett
886,John Flynn
887,John Francis Daley
888,John Frankenheimer
889,John G. Avildsen
890,John Guillermin
891,John Gulager
892,John Hamburg
893,John Herzfeld
894,John Hillcoat
895,John Huston
896,John Hyams
897,John Landis
898,John Lasseter
899,John Lee Hancock
900,John Luessenhop
901,John Madden
902,John McTiernan
903,John Michael McDonagh
904,John Milius
905,John Moore
906,John Musker
907,Johnny Martin
908,John Pasquin
909,John Patrick Shanley
910,John Polson
911,John Requa
912,John Rice
913,John R. Leonetti
914,John Roberts
915,John Schultz
916,John Singleton
917,John Stevenson
918,John Stockwell
919,John Sturges
920,John Swanbeck
921,John Waters
922,John Wells
923,John Whitesell
924,John Woo
925,Jonah Hill
926,Jonah Markowitz
927,Jon Amiel
928,Jonas Åkerlund
929,Jonas Pate
930,Jonathan Dayton
931,Jonathan del Val
932,Jonathan Demme
933,Jonathan Frakes
934,Jonathan Glazer
935,Jonathan Goldstein
936,Jonathan Hensleigh
937,Jonathan Kaplan
938,Jonathan King
939,Jonathan Levine
940,Jonathan Liebesman
941,Jonathan Lynn
942,Jonathan Milott
943,Jonathan Mostow
944,Jon Avnet
945,Jon Cassar
946,Jon Erwin
947,Jon Favreau
948,Jon Hurwitz
949,Jon Lucas
950,Jon M. Chu
951,Jon Poll
952,Jon S. Baird
953,Jon Stewart
954,Jon Turteltaub
955,Jon Watts
956,Jon Wright
957,Jordan Peele
958,Jorge Blanco
959,Jorge Dorado
960,Jorge R. Gutiérrez
961,Jorma Taccone
962,Josef Rusnak
963,José Padilha
964,Josephine Decker
965,Joseph Kosinski
966,Joseph L. Mankiewicz
967,Joseph McGrath
968,Joseph Ruben
969,Joseph Vilsmaier
970,Josh Boone
971,Josh Cooley
972,Josh Gordon
973,Josh Safdie
974,Josh Schwartz
975,Josh Trank
976,Joshua Michael Stern
977,Joshua Seftel
978,Joss Whedon
979,J.P. Dutta
980,J.P. Schaefer
981,Juan Carlos Fresnadillo
982,Judd Apatow
983,Judy Morris
984,Julia Ducournau
985,Juliano Dornelles
986,Julie Anne Robinson
987,Julie Taymor
988,Julius Avery
989,Julius Onah
990,Justin Baldoni
991,Justin Benson
992,Justin Chadwick
993,Justin Kurzel
994,Justin Lin
995,Justin Martinez
996,Justin Zackham
997,Kabir Khan
