tconst,worldwide_lifetime_gross
104940,32574382
104694,132440069
104714,285444603
104990,2819485
104815,98769390
104839,45500797
105104,303144152
105271,50950296
105112,178051587
105121,31347154
105378,2735731
105399,8359717
105226,2502551
105415,112343513
105236,2913644
105435,32170399
105629,1073394593
105698,10667893
106226,32255440
106582,255000211
106611,154856263
106673,51339567
106918,132440069
106941,11146270
106950,6739141
107151,6265311
107156,6933459
107206,176997168
107362,137298489
107290,1033928303
107302,448906865
107315,300854823
107497,299820798
107529,97076152
107616,22549338
107756,65470529
107653,257938649
107818,206678440
108122,686846
108160,227927165
108002,151572634
108162,236412453
108171,547426372
108186,310650585
108188,16468343
108101,25842377
108211,96976270
108333,132274484
108358,58834384
109254,119208989
109444,215887717
109445,3151130
109456,19726050
109370,163971
109635,214015089
109676,28735315
109686,247275374
109707,5887457
109759,1264434525
109830,678226133
109831,245700832
109836,112006296
109936,1005973645
110005,3049135
110081,164729679
110099,26381221
110213,966554929
110265,418961
110357,1063611805
110367,216601214
110413,24271196
110475,250288523
110478,7942116
110570,155457327
110613,59489799
110632,50283563
110638,311605581
110678,155712077
110771,180419276
110889,78309505
110912,213928762
110955,76182388
110989,38087756
111070,190539357
111127,7820688
111149,2079569
111161,28817291
111201,408247917
111255,170362582
111257,350448145
111280,118071125
111400,16487349
111438,1431406
111503,378882411
111512,11555430
111667,320290989
111742,32586408
111756,25052000
112384,26236153
112401,30303072
112431,69131860
112442,426505244
112462,336567158
112471,5987386
112508,26488734
112553,50752337
112573,213216216
112579,182016617
112641,616502912
112681,127944208
112688,94019120
112697,66468985
112715,374565754
112760,10017322
112817,1066179747
112851,98769390
112864,366101666
112883,68792531
113118,28215918
113189,372234864
113243,19652057
113247,180563636
113277,229930771
113326,32392047
113409,8924549
113451,18914307
113481,19075720
113492,113493481
113497,262821940
113537,56070433
113540,7412216
113799,89456761
113957,76669554
113987,13681765
114168,76419755
114214,18636537
114287,262511490
114319,53696278
114323,208076205
114345,10382407
114367,24152155
114369,441306145
114508,358372926
114558,7959291
114614,4064495
114709,1073394593
114814,23341568
114898,264218220
114924,182057016
115433,183611771
115561,19322135
115678,151669859
115693,76182388
115697,66200782
115734,560069
115783,141407024
115798,102825796
115862,154906693
115964,98410061
116095,153383627
116168,46152800
116191,26404660
116209,231976425
116213,242295562
116231,87135520
116250,141047179
116277,631607053
116282,60611975
116287,54249294
116322,4324817
116361,295493
116367,25837111
116477,4770222
116483,41205099
116493,26570048
116583,325338851
116629,817400891
116630,136836272
116669,58620973
116695,273552592
116705,129832389
116722,154608507
116790,13657649
116830,47267001
116908,89456761
117008,33459416
117038,11135803
117039,11135803
117060,694713380
117218,273961019
109504,18477736
109506,15134293
117407,822824522
117420,15681020
117500,335062621
109555,28817291
117571,173046663
109579,3103716
117603,41590886
117802,4555020
117665,59371303
117666,24444121
117883,549368315
117723,26960191
117894,86855739
117918,411002906
117998,494471524
117951,41681746
118073,21440752
118111,2923982
118749,43101594
118564,6330054
118751,79498846
118570,236225193
118571,315156409
118767,25804448
118771,50159144
118604,26570463
118607,44229441
118789,2300684
118617,32730062
118826,27642707
118689,251212670
118880,224012234
118884,171120329
118887,44862187
118954,10686841
119094,245676146
119099,146661977
119114,50605163
118998,176104344
119051,19370020
119142,32748995
119164,257938649
119173,156480177
119174,388998
119177,538375067
119190,174463257
119282,252712101
119336,1808004
119345,40002112
119250,1081142612
119375,113758770
119468,60527873
119395,159330280
119485,5684789
119396,39673807
119558,1071255
119654,445135288
119592,10541523
119664,150166126
119643,142940100
119668,25105255
119670,449326618
119675,25480803
119861,41230799
119874,110463140
119891,1027082707
119715,122417389
119925,17626234
119731,47160000
119942,52090187
119951,41230799
119791,66476363
119807,44480039
119822,314178011
120053,1310470
120070,14328
120082,173046663
120094,286801374
120241,1740156
120148,11841544
120157,14594226
120324,16316273
120177,87840042
120338,2201647264
120184,37020277
120188,107752036
120201,121214377
120363,1073394593
120399,28650575
120586,23875127
120587,171757863
120461,122823468
120591,553709788
120483,13717039
120484,185991646
120514,1635056
120596,36911617
120601,23106667
120611,259334548
120616,415933406
120620,10115013
120630,224834564
120631,98005666
120789,49805462
120791,46733235
120633,56709981
120646,28121100
120794,218613188
120797,8408835
120802,10019109
120804,102984862
120812,244721064
120815,482349603
120824,24690441
120832,103891409
120655,31429330
120834,23049593
120660,250849789
120855,448191819
120663,162242684
120863,98126565
120667,333535934
120866,136771683
120669,10680275
120679,56298474
120681,74558115
120877,20308772
120684,6451628
120685,524976069
120686,159710793
120689,286801374
120888,123306987
120693,934454096
120696,246120986
120902,69363381
120710,12017369
120903,296339528
120716,4956401
120907,2856712
120912,445135288
120913,2201647264
120738,136159423
120746,250288523
120751,50632037
120762,174804407
120764,36850101
122151,285444603
122459,36609995
120784,161626121
122690,151783839
122933,176885658
123209,27807627
123948,32686500
123755,101209702
123964,100541806
123865,191502426
124198,9898412
124298,40263020
124315,88545092
124819,648183
125022,57756408
124901,644783140
125439,363889678
126029,487853320
125454,26875268
125664,47434430
126604,19652057
126886,14902041
126916,46112640
127536,82150642
128332,32255440
128278,34105207
128445,17196103
129332,2062405
129167,23180087
129290,202292902
130121,54264342
130623,349822765
131325,98625775
131369,35242897
131857,62274780
132347,33461011
132477,34698753
132512,22365133
133093,466364845
133152,362211740
133240,110041363
134084,173046663
133751,40283321
133952,116672912
134154,635096
134273,96618699
134847,53187659
137338,6852450
138097,289317794
137363,41067311
137494,212404396
137523,101209702
138510,4152230
138704,609016565
138946,924036
138749,76432727
139134,76347426
139239,134403112
139362,1043262
139668,16649768
139414,56870414
139699,54294169
139462,118880016
140352,60289912
139809,18564088
141098,93900680
141109,34562556
142192,24493601
141926,701796444
142688,58401898
142342,234801895
144084,34266564
143145,361832400
144117,30471
144120,50688658
144168,162738726
144640,10570375
145487,825025036
145503,101058954
145531,89446268
145893,4398989
145681,151493655
146309,66579890
145734,3970078
146316,160099222
146675,211989043
146336,72527595
146838,100230832
147612,236412453
146882,47126295
146984,39459427
149261,164648142
149691,23631929
149624,18133495
150377,177841558
151137,66976317
151804,10828256
151738,84565230
155267,124305181
152930,71255003
154420,15014674
154421,76196538
155776,3117085
156812,35547761
156934,74608570
157472,38793283
157503,10571408
157583,103911669
158811,22323612
159097,10410044
159273,91753202
159365,173013509
159382,38068353
160009,40400425
160184,6632383
160399,8694320
160797,71732303
160916,58900031
161081,291420351
162222,429632142
162346,8764007
162650,21360215
162661,206071502
162677,19288130
162973,61749765
163025,368780809
163187,309460292
163651,235483004
163978,144056873
163983,40443010
163988,16797191
164052,190213455
164108,11670561
164114,22593409
164181,21142914
164184,193921372
164212,1308242
164334,105178561
164538,86369815
164912,300135367
165546,85120254
165710,4217115
165854,3325736
165929,91036760
166485,113996937
166943,14936407
167190,55065289
167404,672806432
167427,30636478
168501,72835710
168786,23367586
158493,311605581
169547,356296601
170016,345573032
171433,59945183
172156,273339556
172396,10827816
172495,465380802
174480,90726668
174856,73956241
175142,78378744
175880,48451803
176783,12591270
177789,90683916
177858,1670516444
177971,328718434
178868,249348933
179098,10011050
179626,147332697
180073,63541777
180734,44102389
181316,117758500
181689,358372926
181865,134866593
181875,47386287
181984,28780255
182789,87423861
183523,110983407
183649,97837138
183659,151669859
183869,71255003
184791,701796444
184858,32168970
184894,99274467
184907,62464731
185014,33426588
185371,42593455
185431,58292295
185937,248639099
186045,15910104
186151,68106245
171580,29364989
186894,53425292
186566,128884132
187078,237202299
187393,215294342
187738,155010032
189584,3728888
189192,16176732
190332,213525736
190419,46357676
190138,106371651
190865,215663859
191754,67448651
191397,50054511
192071,19900366
192255,27965865
192111,13127022
192614,50802120
194314,340487836
195234,28741330
195945,59827328
195685,256271286
195714,112880294
196857,8678812
196216,29934477
198021,40863718
196229,60780981
199753,33463969
200071,15001776
200550,113916474
200654,173469516
202677,13200972
202402,9902115
202470,91720255
203009,184935320
203019,82343495
204626,47267829
204175,25850615
204946,90449929
205873,549368315
206634,70595464
206314,36642838
206420,10194274
207201,374111707
208874,22428990
208092,60845711
209144,40047078
208988,19412993
209163,443280904
209475,94728529
209958,104155843
210945,136771683
210065,115171795
210070,943625
210616,26385941
258470,5007898
212338,330444045
212346,212742720
212985,351692268
213149,449220945
213790,13743212
213847,28817291
214388,130126277
215129,119754278
215750,96976270
217505,193772504
217630,18404706
217756,12452362
217869,248118121
218553,249348933
218839,20789556
218922,35402320
218967,124745083
219699,58980521
219854,34758951
219965,67631903
220580,171120329
221027,83282296
221073,701796444
221218,23619609
222012,398479497
222851,43474578
223897,55707411
225071,29715606
227005,134866593
227445,114252154
227538,147934180
228750,62761005
230030,90383208
230600,209947037
231775,71186502
232500,207305509
233422,264105545
233469,78382433
234215,741847937
234354,2534372
234829,19772447
235198,100230832
236348,14866015
236493,147845033
236784,28008462
237534,70752904
237572,29419291
238546,45479110
238552,122444772
238883,25804448
238936,41037742
239948,26086706
240200,54683487
240510,29882645
240900,6413915
241025,19463185
241303,152699976
241760,31167388
242193,55181129
242445,79958599
242653,427344325
243664,226349749
243862,16350876
244244,147080413
244316,1081142612
244970,38689940
245562,77628265
245686,30987695
245803,37713879
245844,75395048
246460,431971116
246464,8493890
246578,6981586
246677,218122627
246989,23430766
247199,1309316
247425,44763181
247638,165335153
247745,23182223
248126,11334547
248667,87812729
249462,109283018
249478,54249294
250224,19937988
250323,28121100
250494,141774679
250687,466364845
250797,119137784
251075,98376292
251160,102244770
252076,154906693
252299,2300684
252501,30919415
252503,28510652
252866,235483004
253474,120072577
253556,82150183
253798,14782676
253867,69319426
254686,120072577
255067,897690072
255589,327333559
255819,29381649
256103,140807547
256276,85446075
256380,141069860
256415,180622424
256524,18914307
257044,181001478
257076,207725639
257106,78378744
257360,105834556
257756,63781810
258000,197079546
258038,3313583
258068,27674124
258153,408247917
258463,214034224
259288,52323400
259324,228738393
259393,219851172
259446,368744044
259711,203388341
261289,20146150
261392,33788161
261983,49396747
263488,59371303
263757,44617342
264323,225508210
264395,352927224
264464,352114312
264472,94935764
264508,352927224
264616,17423030
264761,10013424
264796,23903791
264935,56714147
265086,172989651
265298,52970014
265349,55305279
265459,52223306
265662,80693537
265666,71444482
266452,8382938
266465,44350926
266489,19322135
266543,940352645
266915,244721064
266987,143049560
267287,286168572
267913,275650703
268126,32801173
268380,383257136
268695,123729176
268978,316791257
268995,37317673
269095,29676703
269347,46061847
270288,33013805
271027,64437847
271367,45867333
272020,27642707
272152,65001485
272207,12633747
273435,2743336
273517,33988736
274166,160466000
274558,108846072
274812,108902486
275083,11670561
275719,126069509
275773,225508210
276751,130549455
276816,120455994
276919,16689283
277027,196114570
277296,180630907
277371,66468985
277434,115374915
278295,26306533
278435,51806184
278488,31283740
278504,113758770
278731,825025036
279064,482349603
279111,12923936
279113,16860964
279331,12150301
279781,12517488
279889,24516772
280380,13414416
280460,38068353
280486,66200782
280590,171269535
280653,1009281898
280707,87754044
280760,6919198
281322,14946150
281358,47494916
281364,18012097
281373,115035090
281820,5756945
282120,60694737
282687,16872671
283003,84785914
283026,34411240
283139,21672284
283832,50007546
284490,77885672
284978,42931041
285175,371000
285531,81240406
285823,98769390
285861,1271244
286106,408247917
286261,2845696
286716,245285165
286751,177584879
286788,50732139
287978,179179718
288477,68349884
289635,2561820
289765,209196298
289848,55003135
289879,96822421
289992,38955598
290002,522657936
290095,104391623
290334,296339528
292644,11832822
293508,154649125
293564,244721064
293662,43928932
294357,11705002
294870,31670620
295178,296938801
295289,17432163
295297,879602366
295700,28650575
295701,277448382
295721,71255003
296572,115900534
296574,6415017
297181,51386477
297884,29027914
298130,249348933
298148,487853320
298203,66308758
298228,41062976
298814,73498611
298845,23875127
299658,306776732
299977,177395557
300051,35492921
300471,88323487
300532,51843679
300556,43935763
301470,59371303
302674,273552592
302886,87135520
303361,353133898
303714,77063924
303816,30553394
303933,57588485
304141,797361618
304415,141337989
304669,190539357
304711,942172396
305224,195745823
305669,164729679
305711,101564935
306047,78378744
306841,55534455
307453,374583879
307479,30002758
307901,853983911
307987,76490720
308383,22954068
308506,62274780
308644,116650613
309377,31794718
309593,112880294
309698,90259536
309820,29632684
309987,24152155
310203,701796444
310357,8564586
310910,23014206
311289,71406573
311429,179265204
312549,9439660
313443,55495563
313542,80154140
313737,199043471
313792,13585075
313911,58795814
314331,245203167
314353,86468162
315297,40954603
315327,484592874
315733,60427839
315983,16763804
316356,68296293
316396,121975011
316465,53293628
316654,825025036
317219,461991867
317303,164433867
317648,108040622
317705,631607053
317740,176070171
318155,68514844
318649,119240351
318974,25819961
319061,123218424
319262,552639571
319343,223853736
319970,84790678
320661,218122627
320691,95708457
322330,160846332
322589,62228395
323033,30031874
323939,459098
324127,11416075
324216,107363905
325055,286801374
325537,38620484
325655,131940411
325710,454627263
326905,10777375
327056,156595191
327137,48260279
327162,103370127
327247,26170671
327597,124596837
327679,27388767
327850,80981914
328107,130834852
328538,10128960
328589,58878723
328828,232722935
329575,148336445
329717,51142659
330229,32450241
330373,896678241
330793,54700105
332047,50605163
332136,102854431
332280,117815157
332375,10275509
332379,131095990
332452,497409852
332658,5175215
333766,35825316
335245,76665191
335266,118686937
335345,612054506
335559,21513434
335563,1025468216
337563,1033928303
337578,1230933
337876,23925492
337909,93400759
337917,16951702
337921,57678321
337978,388156011
338013,74036715
338077,5141166
338094,182290266
338309,42593455
338337,117248958
338348,314215454
338427,20358624
338526,300157638
338751,213719942
339135,83282296
339291,211468235
339412,55405035
339579,493214993
339840,76514050
340855,58469210
342258,50871113
342735,674918
343135,178311729
343818,709709780
344854,108605609
345061,147332697
345950,141067127
346094,68296293
346156,57947036
346491,167298192
347332,340952971
348121,10870198
348150,391081192
348333,18637690
348593,6715067
348836,141591324
349205,190538630
349683,203567857
349825,24740061
350258,123971376
350261,18618284
351283,746921274
351977,57223890
352248,108539911
352277,18611951
355295,105316267
355702,13411957
356150,22605153
356470,70067909
356614,56714147
356618,117592831
356680,92884429
356721,20094909
358082,262511490
358135,170128460
358273,186797986
359423,1644653
359950,188133322
360009,1844917
360139,12313323
360201,41682237
360486,230884728
360717,556906378
361620,12313323
361696,14867514
361748,321457747
361841,22035509
361925,14615099
362120,78378744
362227,219100084
362269,17050017
362270,34809623
362478,33334176
362526,99775678
363547,102278712
363988,92913171
364045,65470529
364343,167298192
364385,187281115
364751,73029190
364970,72109200
365485,17356268
365686,3284444
365737,93974620
365830,13939963
365847,159808370
365885,28237488
365907,58834384
365929,17976667
366548,384336108
366780,866999
367027,686846
367089,11098131
367479,62657868
367594,474968763
367631,1009281898
367882,790653942
381971,69865924
368008,96105910
368447,256697520
368709,52164016
368891,347512318
369339,220239925
369436,164112721
369441,204681899
369610,1670516444
369735,155457327
371246,55470154
371257,149542245
371606,314432837
371746,585796247
372183,290835269
372237,56666667
372532,47096206
372784,1005973645
373051,244232688
373074,631746197
373283,1310470
373450,3487678
373469,15785148
373883,47160000
373889,942172396
373926,162944923
373981,8408835
374900,46138887
375063,109706931
375173,35060882
375568,39886986
375611,329398046
375679,98410061
376108,17492014
376127,9333654
376136,30134958
376541,115505027
377062,35021497
377092,130126277
377107,14189860
377471,95763716
377818,111069515
378072,186053725
378284,36869414
378793,178127760
379725,49327405
379786,40445129
379865,41319039
379889,21560182
380066,256697520
380510,93621340
380599,42580321
380623,19770475
381061,616502912
381707,113100873
381849,162242684
381966,16478265
382625,760006945
382932,623726085
382992,79268322
383010,54819301
383216,164115897
384116,178062759
384286,32586408
384537,100605135
384680,19126398
384793,38623262
384806,107516369
384819,1045713802
385752,372234864
385880,141861243
385887,18477736
386117,100140916
386140,142400065
386588,371594210
386741,1831348
387131,82468097
387514,67937494
387564,103911669
387877,49332692
387898,525687703
388419,96593018
388482,43928932
388795,178062759
389557,26768563
389790,293514336
389860,240685326
389957,4165675
390022,61950770
391198,187281115
391304,42886719
393109,493311825
393162,76669554
393597,29725663
393635,108902486
395251,38075318
395495,16162580
395699,198636868
395972,25211175
396269,288467645
396752,93251121
397065,68766121
397101,93983911
397313,120455994
397535,162242962
397619,180906076
397892,309979994
398017,57479076
398165,191466556
398286,592462816
398712,35294470
399095,163247198
399146,61385065
399201,162949164
399295,72617068
399327,49074379
400717,200811689
401085,238539198
401445,42269923
401729,284139100
401792,158733820
401815,206871
401997,157761002
402022,53321673
402399,49334775
402850,541840
402901,794481
402910,27405896
403508,42013878
403702,19651093
404032,145166804
404203,14821658
404390,9380029
404978,90335025
405094,77356942
405159,216763646
405325,86369815
405469,102338515
405821,12636656
406759,20000000
407304,603873119
407621,47488536
407887,291465373
408306,130982129
408345,791217826
408524,34252847
408985,43451846
409182,181674817
409345,68267862
409459,185382813
410297,114830111
411061,240031274
411267,161849455
413099,174440724
413267,813367380
413300,825025036
414852,213719942
414853,116755080
414951,27674124
414982,112880294
414993,16468343
416044,26527510
416212,39952437
416236,164170327
416320,85638656
416496,67631903
417001,58231520
417148,62022014
417217,30526509
418689,65900249
418763,97076152
418773,232372681
418819,47074133
419294,12045362
419706,58072119
419749,2636637
420223,53653224
420238,86957280
420251,897690072
420332,6887221
420509,634208384
420609,47386287
421054,96822421
421073,66476363
421082,86081711
421206,41480851
421238,32443111
421239,96258201
421715,335802786
422091,58072119
422093,50652203
422320,121550750
422720,60917189
423866,408430415
423977,5254986
424095,178281554
424345,26986174
424880,3117085
424993,38395414
425061,230685453
425123,102854431
425333,86086881
425413,33478921
425430,55060212
425637,108423749
426459,8708
427152,86855739
427229,130224158
427392,40170558
427470,5371181
427944,39323027
429493,133960541
429573,29612137
429589,55181129
429591,22989957
430308,46563961
211933,32730062
430634,211468235
430922,92649419
211938,15471969
431021,43016528
431197,87019158
432047,619179950
432637,18041250
432348,164874275
433362,51417188
434139,15852401
433386,187281115
434409,132511035
433416,20354321
435623,982814
436331,18245244
435651,66980456
435670,143151000
436339,292817898
435705,59827328
435761,1073394593
436697,426074373
437405,300451603
437179,18707966
437800,18948425
438488,371353001
437863,64962629
439662,62788218
439815,12834936
441048,58072119
440803,294805697
440963,444100035
442933,196393745
441773,631746197
443272,275293450
441909,381906762
443274,152039882
443649,269784201
443680,15001776
443496,320290989
443706,84785914
443543,87892388
444182,183936074
445620,3579902
445934,145710347
445990,161459297
446013,30984583
448011,183658498
448115,365971656
448694,554987477
448124,31439140
448134,101058954
449010,250425512
448157,629443428
449059,101058954
449061,205754447
449089,87528173
449851,5728213
449951,182016617
449487,303144152
450188,115350426
450232,213928762
450259,171720398
450340,135710029
450278,81979826
451279,822824522
451079,298572799
452594,12544254
451833,25211175
451850,174024999
452598,190538630
452608,76014335
453467,180557550
452623,34612443
452637,72785169
453556,95802916
452702,35442935
454824,17858059
454841,70009308
455326,5520368
454848,186003591
454876,609016565
454921,307127625
454970,278780441
455407,54806823
455824,211787511
455590,48618191
455857,67062123
455944,192330738
455760,22382047
455967,68844775
456396,46998772
456470,123218424
457275,32041845
457400,68777554
457572,370541256
457430,83850267
457510,99255460
457939,205850134
458352,326706115
461770,340487836
461936,39439355
462200,10907485
462322,25422088
462465,7034698
462499,125212904
462338,11772461
462519,24470583
462538,536414293
462590,140470746
463998,43095175
465142,16656103
465494,176600207
465502,30893885
465580,48858618
465602,95696996
467197,87066930
467200,78201830
466856,21170563
466893,564864
467406,232372681
466909,119974972
468565,177200000
469263,11130889
468569,1005973645
469494,76182388
469903,9808124
469641,163247198
470705,21500813
471042,152930623
471571,15852401
472043,120673227
472181,563749323
472198,44420167
479884,42931041
472399,76130093
473308,66899242
473356,524028679
473753,13042112
475169,485004754
475276,76700659
475293,252909177
475723,19319671
470752,36869414
477071,84297309
477347,363204635
477078,763578
477080,167805466
478304,58409247
478311,219922417
478970,519311965
479143,155929020
479528,1056057720
479997,91627228
479751,85120254
480249,585410052
480255,29397654
480687,86157237
480269,223664608
481499,587235983
481369,77677553
482463,12083296
482571,109676311
482572,31200557
482599,294805697
482606,82410456
485947,55405035
485985,50365498
486576,301913131
486655,137515140
486822,118114220
488120,25422088
488658,21949234
488798,26250020
488414,579707738
488988,701796444
489270,164874275
489281,11212953
489049,64626786
489099,225132113
491152,65100369
490086,120556201
490204,22242388
490215,22382047
493949,27293743
493405,26800152
493430,84645164
493464,342463063
494238,62803180
497915,61749765
498380,68673228
497986,314432837
498399,55033767
498097,173469516
499375,12069719
499262,28817291
499549,2847246203
499556,67179155
758771,218340595
758774,115900897
763831,22044277
762073,33478921
762121,46432264
762125,362211740
765429,269755430
765010,43474578
765446,74939189
775489,87892388
770772,13369768
770802,1670516444
770828,668045518
779982,66200782
775539,75511123
775552,57881056
780504,77187281
783532,421593
780521,267045765
784972,1035056
780567,22985194
780571,48443734
780653,139789765
787474,108255770
787475,856085151
790623,180906076
790628,27437881
790636,55736588
790712,55060212
790724,218340595
790736,78324220
795351,28190603
795368,46789413
795421,611257819
796366,343471816
799954,182016617
800039,105833257
