,primary_name
397,Brandon James Olson
398,Brandon Lee
399,Brandon McGibbon
400,Brandon Quintin Adams
401,Brandon Routh
402,Brandon Stanley
403,Brandon T. Jackson
404,Brayden Edwards
405,Breckin Meyer
406,Brendan Fletcher
407,Brendan Fraser
408,Brendan Gleeson
409,Brendon Ryan Barrett
410,Brent Briscoe
411,Brent Carver
412,Brenton Thwaites
413,Brent Sexton
414,Brett Donahue
415,Brett Gentile
416,Brian Bedford
417,Brian Blessed
418,Brian Caspe
419,Brian Cox
420,Brian Dennehy
421,Brian Geraghty
422,Brian Glover
423,Brian Howe
424,Brian Kerwin
425,Brian Krause
426,Brian McCarthy
427,Brian McElroy
428,Brian Milligan
429,Brian O'Halloran
430,Brian Van Holt
431,Brian White
432,Brooks Ryan
433,Bruce Abbott
434,Bruce Altman
435,Bruce Boxleitner
436,Bruce Cabot
437,Bruce Campbell
438,Bruce Davison
439,Bruce Dern
440,Bruce Greenwood
441,Bruce McGill
442,Bruce Payne
443,Bruce Spence
444,Bruce Willis
445,Bruno Campos
446,Bruno Cremer
447,Bruno Ganz
448,Bruno Kirby
449,Bruno Vanden Broecke
450,Bryan Clark
451,Bryan Cranston
452,Bryan Greenberg
453,Bryan Hearne
454,Bud Cort
455,Buddy Duress
456,Bülent Kayabas
457,Burak Yigit
458,Burgess Meredith
459,Burt Lancaster
460,Burt Reynolds
461,Burt Young
462,Buzz Kilman
463,Çagatay Ulusoy
464,Caglar Ertugrul
465,Caleb Emery
466,Caleb Landry Jones
467,Callan McAuliffe
468,Callum Blue
469,Callum Keith Rennie
470,Calvin Reeder
471,Cameron Boyce
472,Cameron Bright
473,Cam Gigandet
474,Camille Salameh
475,Campbell Scott
476,Carey Means
477,Carl Mazzocone Sr.
478,Carl McCoy
479,Carlo Cecchi
480,Carlos Alazraqui
481,Carlos Gallardo
482,Carlos Gómez
483,Carlos Montalbán
484,Carlos Sanz
485,Carl Weathers
486,Carmen Argenziano
487,Carroll O'Connor
488,Carter Jenkins
489,Cary Elwes
490,Cary Grant
491,Cas Anvar
492,Casey Affleck
493,Casey Stevens
494,Casper Van Dien
495,Cassandra Violet
496,Catlin Foster
497,Cecil Parker
498,Cedric Hardwicke
499,Cedric the Entertainer
500,Cem Yilmaz
501,Cesar De León
502,Cesar De Sutter
503,Cesar Ramos
504,Çetin Tekindor
505,Chace Crawford
506,Chad Allen
507,Chad Faust
508,Chad Michael Murray
509,Chad Power
510,Chadwick Boseman
511,Chance Hurstfield
512,Chandler Canterbury
513,Channing Tatum
514,Chao Deng
515,Charles Aitken
516,Charles Aznavour
517,Charles Berling
518,Charles Bickford
519,Charles Bronson
520,Charles Cioffi
521,Charles Cyphers
522,Charles Dance
523,Charles Durning
524,Charles Edwards
525,Charles Fleischer
526,Charles Grodin
527,Charles Lanyer
528,Charles Laughton
529,Charles Malik Whitfield
530,Charles Martin Smith
531,Charles Paton
532,Charles S. Dutton
533,Charlie Booty
534,Charlie Cox
535,Charlie Creed-Miles
536,Charlie Day
537,Charlie Hunnam
538,Charlie Korsmo
539,Charlie Pye Jr.
540,Charlie Sheen
541,Charlie Shotwell
542,Charlie Tahan
543,Charlton Heston
544,Chase Williamson
545,Chazz Palminteri
546,Checco Zalone
547,Cheech Marin
548,Chelcie Ross
549,Chen Chang
550,Chevy Chase
551,Chibundu Orukwowu
552,Chi McBride
553,Ching Wan Lau
554,Chin Han
555,Chishû Ryû
556,Chiwetel Ejiofor
557,Choi Min-sik
558,Chow Yun-Fat
559,Chris Brown
560,Chris Cooper
561,Chris Coppola
562,Chris Coy
563,Chris Diamantopoulos
564,Chris Eigeman
565,Chris Elliott
566,Chris Evans
567,Chris Farley
568,Chris Hemsworth
569,Chris Klein
570,Chris Lowell
571,Chris Marquette
572,Chris Miller
573,Chris New
574,Chris Noth
575,Chris O'Donnell
576,Chris Owen
577,Chris Penn
578,Chris Pine
579,Chris Pontius
580,Chris Pratt
581,Chris Rock
582,Chris Sarandon
583,Christian Bale
584,Christian Clavier
585,Christian Distefano
586,Christian Kane
587,Christian McKay
588,Christian Slater
589,Christian Stevens
590,Christian Stolte
591,Christo Jivkov
592,Christopher Abbott
593,Christopher Adamson
594,Christopher Carley
595,Christopher Curry
596,Christopher Daniel Barnes
597,Christopher Eccleston
598,Christopher Fairbank
599,Christopher Fitzgerald
600,Christopher Guard
601,Christopher Guest
602,Christopher Heyerdahl
603,Christopher James Baker
604,Christopher Jordan Wallace
605,Christopher Kirby
606,Christopher Knights
607,Christopher Kovaleski
608,Christopher Lambert
609,Christopher Lee
610,Christopher Lloyd
611,Christopher Martin
612,Christopher McDonald
613,Christopher Mintz-Plasse
614,Christopher Nicholas Smith
615,Christopher Plummer
616,Christopher Reeve
617,Christopher Reid
618,Christopher-Robin Street
619,Christopher Soren Kelly
620,Christopher St. John
621,Christopher Stone
622,Christopher Walken
623,Christoph Koncz
624,Christoph Waltz
625,Christos Stergioglou
626,Chris Tucker
627,Chris Wylde
628,Chris Zylka
629,Chuck Cooper
630,Ciarán Hinds
631,Cillian Murphy
632,Clancy Brown
633,Clarence Felder
634,Clark Duke
635,Clark Gregg
636,Claude Maki
637,Claude Rains
638,Claudio Amendola
639,Claudio Brook
640,Clayton Snyder
641,Cliff Curtis
642,Cliff De Young
643,Clifford Bañagale
644,Clifton Collins Jr.
645,Clifton Powell
646,Clifton Webb
647,Clint Dyer
648,Clint Eastwood
649,Clint James
650,Clive Owen
651,Cole Hauser
652,Cole Konis
653,Cole Sprouse
654,Colin Egglesfield
655,Colin Farrell
656,Colin Firth
657,Colin Ford
658,Colin Hanks
659,Colin O'Donoghue
660,Colin Quinn
661,Collin Kelly-Sordelet
662,Colm Feore
663,Colm Meaney
664,Colton Haynes
665,Colton James
666,Columbus Short
667,Common
668,Conleth Hill
669,Connor Corum
670,Connor Paolo
671,Conrad Kemp
672,Conrad Vernon
673,Corbin Allred
674,Corbin Bernsen
675,Corbin Bleu
676,Corey Burton
677,Corey Haim
678,Corey Hawkins
679,Corey Stoll
680,Cornel Wilde
681,Cory Fernandez
682,Cory Gruter-Andrew
683,Cory Monteith
684,Costas Mandylor
685,Craig Bierko
686,Craig Ferguson
687,Craig Parkinson
688,Craig Reay
689,Craig Roberts
690,Craig Robinson
691,Craig Smith
692,Craig T. Nelson
693,Craig Van Hook
694,Crispin Glover
695,Csaba Pindroch
696,C. Thomas Howell
697,Cuba Gooding Jr.
698,Cung Le
699,Curtis Armstrong
700,Cyril Cusack
701,Cyril Raffaelli
702,Cyril Roy
703,Dabney Coleman
704,Dacre Montgomery
705,Daisuke Ono
706,Daisuke Ryû
707,Dakota Goyo
708,Dale Midkiff
709,Dallas Roberts
710,Damaine Radcliff
711,Damian Lewis
712,Damian Walshe-Howling
713,Damijan Oklopdzic
714,Damon Wayans
715,Dana Andrews
716,Dana Snyder
717,Dan Aykroyd
718,Dan Bakkedahl
719,Dan Byrd
720,Dan Castellaneta
721,Dane Cook
722,Dane DeHaan
723,Dan Fogler
724,Dan Futterman
725,Dan Hedaya
726,Daniel Auteuil
727,Daniel Baldwin
728,Daniel Benzali
729,Daniel Brühl
730,Daniel Craig
731,Daniel Day-Lewis
732,Daniel Durant
733,Daniel Giménez Cacho
734,Daniel Grao
735,Daniel Henshall
736,Daniel Hugh Kelly
737,Daniel Kaluuya
738,Daniel London
739,Daniel MacPherson
740,Daniel Olbrychski
741,Daniel Radcliffe
742,Daniel Richter
743,Daniel Stern
744,Daniel Sunjata
745,Daniel Webber
746,Daniel Wu
747,Daniel York
748,Dan Leis
749,Dan Monahan
750,Danny Aiello
751,Danny Denzongpa
752,Danny DeVito
753,Danny Dyer
754,Danny Glover
755,Danny Hoch
756,Danny Huston
757,Danny Kwok-Kwan Chan
758,Danny Lloyd
759,Danny McBride
760,Danny Pintauro
761,Danny Sapani
762,Danny Trejo
763,Dan O'Herlihy
764,Dan Stevens
765,Dario D'Ambrosi
766,Darius Rose
767,Dariusz Biskupski
768,Darren McGavin
769,Darrin Dewitt Henson
770,Dar Salim
771,Dartanian Sloan
772,Darwin Joston
773,Daryl Sabara
774,Dash Mihok
775,Dave Bautista
776,Dave Chappelle
777,Dave Franco
778,Dave Goelz
779,Dave Levine
780,Dave Willis
781,David Aaron Baker
782,David Alan Basche
783,David Alan Grier
784,David Anders
785,David Andrews
786,David Arquette
787,David Belle
788,David Bennent
789,David Bierend
790,David Birkin
791,David Bowie
792,David Bradley
793,David Brisbin
794,David Calder
795,David Carradine
796,David Caruso
797,David Cross
798,David Crow
799,David Della Rocco
800,David Denman
801,David de Vries
802,David Dorfman
803,David Duchovny
804,David Duggan
805,David Eigenberg
806,David Elliot
807,David Emge
808,David Field
809,David Forman
810,David Gale
811,David Harbour
812,David Hasselhoff
813,David Hayman
814,David Hemmings
815,David Herman
816,David Hewlett
817,David Huffman
818,David James
819,David Kaye
820,David Kelly
821,David Koechner
822,David Kross
823,David Kuhn
824,David Lyons
825,David Mazouz
826,David Milford
827,David Morse
828,David Moscow
829,David Niven
830,David Oakes
831,David Ogden Stiers
832,David Oyelowo
833,David Patrick Kelly
834,David Paymer
835,David Ryall
836,David Schwimmer
837,David Shields
838,David Spade
839,David Strathairn
840,David Tennant
841,David Thewlis
842,David Threlfall
843,David Tomlinson
844,David Warner
845,David Wood
846,Da'Vone McDonald
847,Dax Flame
848,Dax Shepard
849,D.B. Sweeney
850,Dean Andrews
851,Dean Cain
852,Dean Jagger
853,Dean Martin
854,Dean Norris
855,Deb Mukherjee
856,DeForest Kelley
857,Delhi Ganesh
858,Del Moore
859,Delroy Lindo
860,Demetri Martin
861,Demetrius Shipp Jr.
862,Demián Bichir
863,Denholm Elliott
864,Denis Leary
865,Denis O'Hare
866,Dennis Farina
867,Dennis Haysbert
868,Dennis Hopper
869,Dennis Miller
870,Dennis Quaid
871,Dennis Weaver
872,Denzel Washington
873,Deobia Oparei
874,Derek Jacobi
875,Derek Jeter
876,Derek Luke
877,Derek Richardson
878,Dermot Mulroney
879,De'Shawn Washington
880,Desmond Askew
881,Desmond Harrington
882,DeVaughn Nixon
883,Devin Brochu
884,Devin Druid
885,Devon Graye
886,Devon Gummersall
887,Devon Sawa
888,Dev Patel
889,Dexter Fletcher
890,Dhanush
891,Dharmendra
892,Dhruv Ganesh
893,Dian Bachar
894,Dick Anthony Williams
895,Dick Shawn
896,Dick Van Dyke
897,Diego Boneta
898,Diego Klattenhoff
899,Diego Luna
900,Diogo Morgado
901,Djiby Soumare
902,Djimon Hounsou
903,DJ Qualls
904,Dmitriy Dyuzhev
905,Dmitriy Nazarov
906,DMX
907,Dolph Lundgren
908,Domhnall Gleeson
909,Dominic Bogart
910,Dominic Cooper
911,Dominic Monaghan
912,Dominic Purcell
913,Dominic Rains
914,Dominic West
915,Dominique Horwitz
916,Donald Gibb
917,Donald Glover
918,Donald Pleasence
919,Donald Sutherland
920,Donal Logue
921,Donatas Banionis
922,Don Cheadle
923,Don Gordon
924,Dong-soo Seo
925,Don Harvey
926,Don Johnson
927,Don Keith Opper
928,Don Knotts
929,Don McKellar
930,Donnie Wahlberg
931,Donnie Yen
932,Don Pedro Colley
933,Don Rickles
934,Don Stroud
935,Don Taylor
936,Don Thompson
937,Doug E. Doug
938,Doug Hutchison
939,Dougie McConnell
940,Doug Jones
941,Douglas Booth
942,Douglas M. Griffin
943,Dougray Scott
944,Dragan Bjelogrlic
945,Dragos Bucur
946,Drake Cook
947,Dudley Moore
948,Dulquer Salmaan
949,Duncan
950,Duncan MacNeil
951,Durgesh Kumar
952,Dusan Pekic
953,Dustin Hoffman
954,Dustin Milligan
955,Dwayne Hickman
956,Dwayne Johnson
957,Dwight Yoakam
958,Dylan Arnold
959,Dylan Baker
960,Dylan McDermott
961,Dylan Minnette
962,Dylan Moran
963,Dylan O'Brien
964,Dylan Smith
965,Dylan Walsh
966,Dyllan Christopher
967,Eamon Farren
968,Eamonn Walker
969,Ebon Moss-Bachrach
970,Ed Ackerman
971,Ed Asner
972,Ed Begley Jr.
973,Eddie Albert
974,Eddie Baroo
975,Eddie Barth
976,Eddie Cibrian
977,Eddie Firestone
978,Eddie Marsan
979,Eddie Murphy
980,Eddie 'Piolin' Sotelo
981,Eddie Redmayne
982,Edgar Ramírez
983,Ed Harris
984,Ed Helms
985,Edi Gathegi
986,Edison Chen
987,Ed Lauter
988,Edmond O'Brien
